"",BBEX3.D.KRW.USD.CA.AA.000,BBEX3.D.KRW.USD.CA.AA.000_FLAGS
"",Exchange rates for the US dollar in the Republic of Korea / USD 1 = KRW ... (buying),
unit,KRW (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:45:14,
1968-01-31,274.30,
1968-02-01,.,No value available
1968-02-02,.,No value available
1968-02-03,.,No value available
1968-02-04,.,No value available
1968-02-05,.,No value available
1968-02-06,.,No value available
1968-02-07,.,No value available
1968-02-08,.,No value available
1968-02-09,.,No value available
1968-02-10,.,No value available
1968-02-11,.,No value available
1968-02-12,.,No value available
1968-02-13,.,No value available
1968-02-14,.,No value available
1968-02-15,.,No value available
1968-02-16,.,No value available
1968-02-17,.,No value available
1968-02-18,.,No value available
1968-02-19,.,No value available
1968-02-20,.,No value available
1968-02-21,.,No value available
1968-02-22,.,No value available
1968-02-23,.,No value available
1968-02-24,.,No value available
1968-02-25,.,No value available
1968-02-26,.,No value available
1968-02-27,.,No value available
1968-02-28,.,No value available
1968-02-29,274.30,
1968-03-01,.,No value available
1968-03-02,.,No value available
1968-03-03,.,No value available
1968-03-04,.,No value available
1968-03-05,.,No value available
1968-03-06,.,No value available
1968-03-07,.,No value available
1968-03-08,.,No value available
1968-03-09,.,No value available
1968-03-10,.,No value available
1968-03-11,.,No value available
1968-03-12,.,No value available
1968-03-13,.,No value available
1968-03-14,.,No value available
1968-03-15,.,No value available
1968-03-16,.,No value available
1968-03-17,.,No value available
1968-03-18,.,No value available
1968-03-19,.,No value available
1968-03-20,.,No value available
1968-03-21,.,No value available
1968-03-22,.,No value available
1968-03-23,.,No value available
1968-03-24,.,No value available
1968-03-25,.,No value available
1968-03-26,.,No value available
1968-03-27,.,No value available
1968-03-28,.,No value available
1968-03-29,.,No value available
1968-03-30,274.30,
1968-03-31,.,No value available
1968-04-01,.,No value available
1968-04-02,.,No value available
1968-04-03,.,No value available
1968-04-04,.,No value available
1968-04-05,.,No value available
1968-04-06,.,No value available
1968-04-07,.,No value available
1968-04-08,.,No value available
1968-04-09,.,No value available
1968-04-10,.,No value available
1968-04-11,.,No value available
1968-04-12,.,No value available
1968-04-13,.,No value available
1968-04-14,.,No value available
