"",BBK01.OEAC03H,BBK01.OEAC03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:42,
2002-01,6.896,
2002-04,7.449,
2002-07,7.249,
2002-10,6.782,
2003-01,6.585,
2003-04,6.664,
2003-07,6.298,
2003-10,6.306,
2004-01,6.049,
2004-04,6.181,
2004-07,6.202,
2004-10,5.782,
2005-01,5.669,
2005-04,5.553,
2005-07,5.581,
2005-10,5.507,
2006-01,5.606,
2006-04,5.689,
2006-07,5.820,
2006-10,5.588,
2007-01,5.395,
2007-04,5.672,
2007-07,5.630,
2007-10,5.646,
2008-01,5.695,
2008-04,5.769,
2008-07,5.766,
2008-10,7.113,
2009-01,7.708,
2009-04,7.542,
2009-07,7.737,
2009-10,8.231,
2010-01,8.373,
2010-04,9.004,
2010-07,9.098,
2010-10,9.806,
2011-01,9.904,
2011-04,10.644,
2011-07,10.893,
2011-10,11.326,
2012-01,11.673,
2012-04,12.143,
2012-07,12.771,
2012-10,13.106,
2013-01,13.178,
2013-04,12.945,
2013-07,13.215,
2013-10,12.998,
2014-01,12.932,
2014-04,13.192,
2014-07,13.353,
