"",BBK01.OELK02V,BBK01.OELK02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:22,
2002-01,0.440,
2002-04,0.447,
2002-07,0.504,
2002-10,0.528,
2003-01,0.505,
2003-04,0.509,
2003-07,0.523,
2003-10,0.546,
2004-01,0.518,
2004-04,0.512,
2004-07,0.531,
2004-10,0.547,
2005-01,0.506,
2005-04,0.496,
2005-07,0.520,
2005-10,0.562,
2006-01,0.523,
2006-04,0.530,
2006-07,0.568,
2006-10,0.614,
2007-01,0.613,
2007-04,0.636,
2007-07,0.664,
2007-10,0.696,
2008-01,0.661,
2008-04,0.655,
2008-07,0.689,
2008-10,0.730,
2009-01,0.695,
2009-04,0.729,
2009-07,0.777,
2009-10,0.834,
2010-01,0.810,
2010-04,0.832,
2010-07,0.911,
2010-10,0.928,
2011-01,0.864,
2011-04,0.872,
2011-07,0.916,
2011-10,0.959,
2012-01,0.939,
2012-04,1.063,
2012-07,1.155,
2012-10,1.140,
2013-01,1.136,
2013-04,1.178,
2013-07,1.243,
2013-10,1.309,
2014-01,1.293,
2014-04,1.320,
2014-07,1.380,
