"",BBFB1.Q.N.DE.JP.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:15,
1991-01,-2989.986,
1991-04,-4026.269,
1991-07,-3776.297,
1991-10,-2854.241,
1992-01,-3619.598,
1992-04,-3995.615,
1992-07,-3593.765,
1992-10,-3031.643,
1993-01,-3106.412,
1993-04,-3149.618,
1993-07,-2994.367,
1993-10,-2053.921,
1994-01,-2669.344,
1994-04,-2379.884,
1994-07,-2381.014,
1994-10,-2491.094,
1995-01,-2530.077,
1995-04,-2697.392,
1995-07,-2419.007,
1995-10,-2555.225,
1996-01,-2430.420,
1996-04,-2260.559,
1996-07,-2001.496,
1996-10,-1747.540,
1997-01,-2027.667,
1997-04,-2664.435,
1997-07,-2344.606,
1997-10,-2926.562,
1998-01,-3180.035,
1998-04,-3548.664,
1998-07,-2981.739,
1998-10,-3028.244,
1999-01,-3257.013,
1999-04,-3139.988,
1999-07,-2819.471,
1999-10,-3012.819,
2000-01,-4293.688,
2000-04,-3903.439,
2000-07,-3566.983,
2000-10,-4070.114,
2001-01,-3621.454,
2001-04,-3441.207,
2001-07,-2485.716,
2001-10,-2356.223,
2002-01,-2012.302,
2002-04,-2228.861,
2002-07,-2014.814,
2002-10,-2298.953,
2003-01,-2642.426,
2003-04,-2763.115,
2003-07,-2046.048,
2003-10,-2340.511,
2004-01,-2925.763,
2004-04,-3255.789,
2004-07,-2615.558,
2004-10,-2868.718,
2005-01,-1819.525,
2005-04,-2641.532,
2005-07,-2174.689,
2005-10,-2604.215,
2006-01,-3050.256,
2006-04,-3082.343,
2006-07,-2586.955,
2006-10,-3096.190,
2007-01,-3535.594,
2007-04,-3052.052,
2007-07,-3013.349,
2007-10,-3440.926,
2008-01,-2957.711,
2008-04,-3119.364,
2008-07,-3032.683,
2008-10,-2989.936,
2009-01,-2796.354,
2009-04,-2028.466,
2009-07,-1981.720,
2009-10,-2132.679,
2010-01,-2809.372,
2010-04,-3113.861,
2010-07,-3024.743,
2010-10,-3228.205,
2011-01,-3038.285,
2011-04,-3092.239,
2011-07,-2501.183,
2011-10,-2753.475,
2012-01,-2108.074,
2012-04,-2398.524,
2012-07,-1744.838,
2012-10,-1448.207,
2013-01,-1378.098,
2013-04,-1286.274,
2013-07,-742.895,
2013-10,-375.460,
2014-01,-925.427,Provisional value
2014-04,-1069.937,Provisional value
2014-07,-474.263,Provisional value
