"",BBK01.OECO06N,BBK01.OECO06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:20,
2002-01,5.568,
2002-04,3.501,
2002-07,3.444,
2002-10,3.818,
2003-01,3.749,
2003-04,3.632,
2003-07,4.286,
2003-10,4.253,
2004-01,4.010,
2004-04,3.936,
2004-07,5.014,
2004-10,5.264,
2005-01,12.499,
2005-04,12.421,
2005-07,12.060,
2005-10,11.724,
2006-01,11.503,
2006-04,11.307,
2006-07,11.031,
2006-10,10.912,
2007-01,11.106,
2007-04,11.013,
2007-07,10.821,
2007-10,11.052,
2008-01,10.958,
2008-04,11.282,
2008-07,10.944,
2008-10,11.698,
2009-01,12.070,
2009-04,12.683,
2009-07,13.489,
2009-10,13.731,
2010-01,13.624,
2010-04,13.438,
2010-07,13.433,
2010-10,13.662,
2011-01,13.502,
2011-04,13.069,
2011-07,12.954,
2011-10,12.892,
2012-01,14.444,
2012-04,14.166,
2012-07,14.129,
2012-10,14.180,
2013-01,13.218,
2013-04,12.952,
2013-07,12.661,
2013-10,12.617,
2014-01,12.288,
2014-04,12.021,
2014-07,12.351,
