"",BBK01.OXA7B9,BBK01.OXA7B9_FLAGS
"",Other long-term loans to employees and other individuals - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:08,
2010-06,56.897,
2010-07,57.484,
2010-08,57.591,
2010-09,57.419,
2010-10,57.736,
2010-11,57.673,
2010-12,57.795,
2011-01,57.674,
2011-02,57.944,
2011-03,57.776,
2011-04,57.660,
2011-05,57.755,
2011-06,57.629,
2011-07,58.013,
2011-08,58.101,
2011-09,58.651,
2011-10,58.703,
2011-11,59.456,
2011-12,59.111,
2012-01,59.329,
2012-02,59.286,
2012-03,59.436,
2012-04,59.747,
2012-05,59.930,
2012-06,59.818,
2012-07,59.974,
2012-08,60.510,
2012-09,61.009,
2012-10,61.284,
2012-11,61.865,
2012-12,61.711,
2013-01,61.700,
2013-02,61.855,
2013-03,61.798,
2013-04,61.887,
2013-05,61.664,
2013-06,61.749,
2013-07,61.829,
2013-08,61.897,
2013-09,63.359,
2013-10,63.551,
2013-11,63.938,
2013-12,63.715,
2014-01,63.780,
2014-02,63.832,
2014-03,63.502,
2014-04,63.773,
2014-05,63.985,
2014-06,63.786,
2014-07,63.875,
2014-08,63.924,
2014-09,63.623,
2014-10,63.603,
2014-11,64.331,
2014-12,63.849,Provisional value
