"",BBFB1.Q.N.DE.E14000.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:26,
1991-01,-1126.898,
1991-04,-1155.745,
1991-07,-1426.817,
1991-10,-1138.802,
1992-01,-1091.456,
1992-04,-1155.275,
1992-07,-1575.990,
1992-10,-1297.559,
1993-01,-1093.713,
1993-04,-1179.160,
1993-07,-1714.390,
1993-10,-1195.863,
1994-01,-1341.950,
1994-04,-1478.375,
1994-07,-1947.858,
1994-10,-1438.732,
1995-01,-1376.183,
1995-04,-1553.750,
1995-07,-2187.066,
1995-10,-1470.891,
1996-01,-1452.847,
1996-04,-1507.945,
1996-07,-2276.050,
1996-10,-1892.463,
1997-01,-1511.282,
1997-04,-1409.160,
1997-07,-2301.372,
1997-10,-1379.218,
1998-01,-1158.361,
1998-04,-1620.552,
1998-07,-2214.492,
1998-10,-1416.958,
1999-01,-1232.399,
1999-04,-1429.198,
1999-07,-2180.061,
1999-10,-1445.123,
2000-01,-1351.228,
2000-04,-1499.231,
2000-07,-2426.126,
2000-10,-1731.466,
2001-01,-1630.531,
2001-04,-1644.897,
2001-07,-2970.241,
2001-10,-1440.264,
2002-01,-1528.452,
2002-04,-1560.888,
2002-07,-2807.246,
2002-10,-1585.478,
2003-01,-953.141,
2003-04,-1106.938,
2003-07,-2328.638,
2003-10,-359.294,
2004-01,-318.253,
2004-04,-683.064,
2004-07,-2240.093,
2004-10,-107.608,
2005-01,-556.323,
2005-04,-1090.000,
2005-07,-2375.892,
2005-10,-934.455,
2006-01,-629.791,
2006-04,-104.906,
2006-07,-2155.962,
2006-10,-142.647,
2007-01,-445.128,
2007-04,-544.127,
2007-07,-1821.201,
2007-10,-413.495,
2008-01,-141.068,
2008-04,-360.638,
2008-07,-1439.116,
2008-10,543.375,
2009-01,314.967,
2009-04,-280.489,
2009-07,-965.909,
2009-10,243.157,
2010-01,133.084,
2010-04,-124.959,
2010-07,-1761.689,
2010-10,237.669,
2011-01,278.172,
2011-04,-182.744,
2011-07,-1613.228,
2011-10,468.511,
2012-01,663.848,
2012-04,69.376,
2012-07,-1424.714,
2012-10,684.852,
2013-01,640.010,
2013-04,60.005,
2013-07,-1348.364,
2013-10,822.798,
2014-01,1277.292,Provisional value
2014-04,801.533,Provisional value
2014-07,-1157.739,Provisional value
