"",BBK01.OEAA51L,BBK01.OEAA51L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:36,
2002-01,78.271,
2002-04,73.624,
2002-07,75.462,
2002-10,66.378,
2003-01,84.237,
2003-04,86.813,
2003-07,86.386,
2003-10,87.969,
2004-01,110.886,
2004-04,102.125,
2004-07,117.164,
2004-10,109.628,
2005-01,107.639,
2005-04,108.322,
2005-07,107.144,
2005-10,98.051,
2006-01,99.160,
2006-04,100.328,
2006-07,108.299,
2006-10,100.777,
2007-01,114.415,
2007-04,123.505,
2007-07,113.729,
2007-10,98.729,
2008-01,130.418,
2008-04,105.725,
2008-07,111.854,
2008-10,64.787,
2009-01,62.116,
2009-04,72.742,
2009-07,60.223,
2009-10,51.722,
2010-01,51.492,
2010-04,58.166,
2010-07,47.995,
2010-10,46.630,
2011-01,47.319,
2011-04,56.237,
2011-07,58.802,
2011-10,39.730,
2012-01,54.192,
2012-04,51.776,
2012-07,53.950,
2012-10,49.535,
2013-01,56.269,
2013-04,56.752,
2013-07,46.156,
2013-10,46.836,
2014-01,48.956,
2014-04,54.264,
2014-07,53.085,
