"",BBK01.OEAE04G,BBK01.OEAE04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:49,
2002-01,19.676,
2002-04,19.760,
2002-07,19.794,
2002-10,20.522,
2003-01,19.879,
2003-04,19.336,
2003-07,18.042,
2003-10,18.207,
2004-01,18.539,
2004-04,18.930,
2004-07,19.331,
2004-10,19.731,
2005-01,18.956,
2005-04,19.297,
2005-07,19.402,
2005-10,19.683,
2006-01,19.549,
2006-04,19.488,
2006-07,19.740,
2006-10,19.744,
2007-01,19.528,
2007-04,19.426,
2007-07,17.987,
2007-10,17.877,
2008-01,17.241,
2008-04,17.718,
2008-07,19.043,
2008-10,15.216,
2009-01,13.779,
2009-04,15.137,
2009-07,15.747,
2009-10,17.895,
2010-01,14.625,
2010-04,14.461,
2010-07,14.661,
2010-10,14.835,
2011-01,16.270,
2011-04,16.196,
2011-07,16.151,
2011-10,16.519,
2012-01,16.317,
2012-04,16.658,
2012-07,16.979,
2012-10,17.499,
2013-01,17.593,
2013-04,17.643,
2013-07,17.114,
2013-10,17.259,
2014-01,16.670,
2014-04,16.768,
2014-07,16.683,
