"",BBK01.OEXO03P,BBK01.OEXO03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:48,
2002-01,0.082,
2002-04,0.079,
2002-07,0.071,
2002-10,0.076,
2003-01,0.081,
2003-04,0.075,
2003-07,0.135,
2003-10,0.079,
2004-01,0.098,
2004-04,0.074,
2004-07,0.081,
2004-10,0.073,
2005-01,0.085,
2005-04,0.074,
2005-07,0.091,
2005-10,0.092,
2006-01,0.114,
2006-04,0.108,
2006-07,0.117,
2006-10,0.109,
2007-01,0.132,
2007-04,0.111,
2007-07,0.123,
2007-10,0.146,
2008-01,0.162,
2008-04,0.141,
2008-07,0.180,
2008-10,0.204,
2009-01,0.158,
2009-04,0.127,
2009-07,0.118,
2009-10,0.178,
2010-01,0.142,
2010-04,0.100,
2010-07,0.107,
2010-10,0.123,
2011-01,0.196,
2011-04,0.119,
2011-07,0.104,
2011-10,0.109,
2012-01,0.132,
2012-04,0.089,
2012-07,0.095,
2012-10,0.097,
2013-01,0.114,
2013-04,0.077,
2013-07,0.058,
2013-10,0.071,
2014-01,0.066,
2014-04,0.053,
2014-07,0.041,
