"",BBFB1.Q.N.DE.CH.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:41,
1991-01,32.569,
1991-04,36.753,
1991-07,6.969,
1991-10,-51.328,
1992-01,-22.832,
1992-04,-243.868,
1992-07,-104.328,
1992-10,-749.115,
1993-01,-263.927,
1993-04,240.083,
1993-07,33.545,
1993-10,-207.491,
1994-01,319.644,
1994-04,71.485,
1994-07,564.251,
1994-10,198.977,
1995-01,1401.953,
1995-04,-220.443,
1995-07,-342.952,
1995-10,81.871,
1996-01,-180.489,
1996-04,24.811,
1996-07,390.957,
1996-10,815.858,
1997-01,-755.935,
1997-04,-253.740,
1997-07,1041.595,
1997-10,905.800,
1998-01,-1365.767,
1998-04,151.547,
1998-07,-463.246,
1998-10,-25.855,
1999-01,66.293,
1999-04,1104.306,
1999-07,2233.068,
1999-10,1476.392,
2000-01,2004.053,
2000-04,3032.795,
2000-07,535.737,
2000-10,85.449,
2001-01,-279.082,
2001-04,-2214.171,
2001-07,675.119,
2001-10,-397.899,
2002-01,-2229.371,
2002-04,3612.453,
2002-07,991.962,
2002-10,257.645,
2003-01,3329.244,
2003-04,-649.336,
2003-07,1381.707,
2003-10,1681.941,
2004-01,246.677,
2004-04,-772.362,
2004-07,8.858,
2004-10,931.465,
2005-01,817.933,
2005-04,3057.204,
2005-07,1298.424,
2005-10,-157.696,
2006-01,-1273.419,
2006-04,1222.095,
2006-07,-646.138,
2006-10,2386.405,
2007-01,1585.495,
2007-04,-1422.437,
2007-07,4277.552,
2007-10,-1149.548,
2008-01,409.695,
2008-04,-1711.354,
2008-07,1683.090,
2008-10,-1562.523,
2009-01,890.247,
2009-04,-125.661,
2009-07,3377.735,
2009-10,781.138,
2010-01,1402.278,
2010-04,-1940.841,
2010-07,1317.050,
2010-10,2243.757,
2011-01,2552.316,
2011-04,1927.014,
2011-07,2999.272,
2011-10,2265.170,
2012-01,1029.532,
2012-04,1703.253,
2012-07,1614.891,
2012-10,57.258,
2013-01,1484.618,
2013-04,1015.599,
2013-07,614.901,
2013-10,-916.050,
2014-01,-29.982,Provisional value
2014-04,2115.333,Provisional value
2014-07,1948.702,Provisional value
2014-10,-2520.992,Provisional value
