"",BBFB1.Q.N.DE.GB.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:09,
1991-01,860.078,
1991-04,934.371,
1991-07,931.245,
1991-10,907.535,
1992-01,737.862,
1992-04,815.328,
1992-07,846.134,
1992-10,811.385,
1993-01,790.030,
1993-04,846.886,
1993-07,816.713,
1993-10,831.727,
1994-01,414.045,
1994-04,486.868,
1994-07,413.590,
1994-10,397.578,
1995-01,393.625,
1995-04,478.481,
1995-07,406.949,
1995-10,394.764,
1996-01,314.712,
1996-04,413.392,
1996-07,418.328,
1996-10,351.935,
1997-01,317.774,
1997-04,501.672,
1997-07,336.251,
1997-10,309.190,
1998-01,761.900,
1998-04,986.853,
1998-07,812.999,
1998-10,895.824,
1999-01,787.129,
1999-04,1106.384,
1999-07,931.052,
1999-10,970.520,
2000-01,1798.667,
2000-04,2037.173,
2000-07,2049.795,
2000-10,2167.978,
2001-01,648.674,
2001-04,894.604,
2001-07,690.063,
2001-10,675.172,
2002-01,1238.919,
2002-04,1506.300,
2002-07,1424.223,
2002-10,1397.716,
2003-01,2227.019,
2003-04,2583.298,
2003-07,2278.635,
2003-10,2024.029,
2004-01,1856.318,
2004-04,2123.188,
2004-07,1463.565,
2004-10,1539.528,
2005-01,549.667,
2005-04,993.123,
2005-07,584.233,
2005-10,560.672,
2006-01,1258.007,
2006-04,1821.772,
2006-07,1040.697,
2006-10,996.967,
2007-01,726.221,
2007-04,2282.604,
2007-07,629.014,
2007-10,566.426,
2008-01,1066.907,
2008-04,2487.647,
2008-07,756.867,
2008-10,809.330,
2009-01,1521.457,
2009-04,2650.288,
2009-07,1357.321,
2009-10,1381.206,
2010-01,1592.157,
2010-04,2664.121,
2010-07,1870.934,
2010-10,1767.750,
2011-01,2510.991,
2011-04,3552.661,
2011-07,2751.944,
2011-10,2694.078,
2012-01,3622.710,
2012-04,4608.144,
2012-07,3568.328,
2012-10,3653.301,
2013-01,4445.856,
2013-04,4882.760,
2013-07,4500.609,
2013-10,4570.459,
2014-01,3781.978,Provisional value
2014-04,4969.158,Provisional value
2014-07,3744.683,Provisional value
