"",BBFB1.Q.N.DE.F1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:03,
1991-01,179.586,
1991-04,229.697,
1991-07,247.663,
1991-10,248.431,
1992-01,218.152,
1992-04,240.651,
1992-07,218.947,
1992-10,233.241,
1993-01,199.516,
1993-04,251.101,
1993-07,326.415,
1993-10,259.433,
1994-01,188.599,
1994-04,253.815,
1994-07,217.605,
1994-10,220.207,
1995-01,204.907,
1995-04,221.694,
1995-07,232.557,
1995-10,250.795,
1996-01,207.354,
1996-04,260.730,
1996-07,248.266,
1996-10,284.932,
1997-01,239.189,
1997-04,279.672,
1997-07,288.619,
1997-10,312.373,
1998-01,277.159,
1998-04,288.744,
1998-07,359.448,
1998-10,335.011,
1999-01,250.483,
1999-04,283.811,
1999-07,299.429,
1999-10,334.111,
2000-01,270.735,
2000-04,282.635,
2000-07,304.989,
2000-10,371.321,
2001-01,268.309,
2001-04,325.437,
2001-07,338.829,
2001-10,366.762,
2002-01,357.594,
2002-04,375.506,
2002-07,410.508,
2002-10,459.268,
2003-01,366.720,
2003-04,372.038,
2003-07,368.069,
2003-10,477.914,
2004-01,350.446,
2004-04,388.592,
2004-07,426.489,
2004-10,471.474,
2005-01,367.174,
2005-04,422.819,
2005-07,467.094,
2005-10,590.564,
2006-01,424.033,
2006-04,532.623,
2006-07,485.263,
2006-10,631.006,
2007-01,482.417,
2007-04,514.136,
2007-07,544.640,
2007-10,635.677,
2008-01,512.187,
2008-04,604.231,
2008-07,540.606,
2008-10,642.621,
2009-01,529.008,
2009-04,570.213,
2009-07,563.611,
2009-10,638.654,
2010-01,571.555,
2010-04,648.922,
2010-07,700.730,
2010-10,794.292,
2011-01,566.260,
2011-04,636.088,
2011-07,610.928,
2011-10,769.754,
2012-01,632.722,
2012-04,672.994,
2012-07,644.248,
2012-10,743.269,
2013-01,592.926,
2013-04,675.260,
2013-07,693.598,
2013-10,786.529,
2014-01,770.722,Provisional value
2014-04,735.616,Provisional value
2014-07,744.692,Provisional value
