"",BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / All sectors excluding General government / Personal transfers between resident and nonresident households / Workers' remittances / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:10,
1991-01,167.192,
1991-02,218.322,
1991-03,243.886,
1991-04,293.482,
1991-05,293.482,
1991-06,293.482,
1991-07,326.716,
1991-08,275.586,
1991-09,301.151,
1991-10,308.309,
1991-11,282.744,
1991-12,282.744,
1992-01,257.691,
1992-02,257.691,
1992-03,308.820,
1992-04,283.256,
1992-05,257.691,
1992-06,283.256,
1992-07,322.625,
1992-08,297.061,
1992-09,271.496,
1992-10,322.625,
1992-11,220.367,
1992-12,406.988,
1993-01,247.977,
1993-02,247.977,
1993-03,273.541,
1993-04,296.038,
1993-05,296.038,
1993-06,296.038,
1993-07,331.828,
1993-08,331.828,
1993-09,280.699,
1993-10,298.083,
1993-11,272.519,
1993-12,323.648,
1994-01,306.775,
1994-02,306.775,
1994-03,357.904,
1994-04,306.775,
1994-05,306.775,
1994-06,306.775,
1994-07,306.775,
1994-08,306.775,
1994-09,357.904,
1994-10,306.775,
1994-11,306.775,
1994-12,357.904,
1995-01,306.775,
1995-02,306.775,
1995-03,357.904,
1995-04,306.775,
1995-05,306.775,
1995-06,357.904,
1995-07,306.775,
1995-08,306.775,
1995-09,357.904,
1995-10,306.775,
1995-11,306.775,
1995-12,357.904,
1996-01,315.335,
1996-02,315.335,
1996-03,315.335,
1996-04,315.335,
1996-05,315.335,
1996-06,315.335,
1996-07,315.335,
1996-08,315.335,
1996-09,315.335,
1996-10,315.335,
1996-11,315.335,
1996-12,315.335,
1997-01,320.350,
1997-02,320.350,
1997-03,320.350,
1997-04,320.350,
1997-05,320.350,
1997-06,320.350,
1997-07,320.350,
1997-08,320.350,
1997-09,320.350,
1997-10,320.350,
1997-11,320.350,
1997-12,320.350,
1998-01,295.527,
1998-02,295.527,
1998-03,295.527,
1998-04,295.527,
1998-05,295.527,
1998-06,295.527,
1998-07,295.527,
1998-08,295.527,
1998-09,295.527,
1998-10,295.527,
1998-11,295.527,
1998-12,295.527,
1999-01,285.745,
1999-02,285.745,
1999-03,285.745,
1999-04,285.745,
1999-05,285.745,
1999-06,285.745,
1999-07,285.745,
1999-08,285.745,
1999-09,285.745,
1999-10,285.745,
1999-11,285.745,
1999-12,285.745,
2000-01,288.143,
2000-02,288.143,
2000-03,288.143,
2000-04,288.143,
2000-05,288.143,
2000-06,288.143,
2000-07,288.143,
2000-08,288.143,
2000-09,288.143,
2000-10,288.143,
2000-11,288.143,
2000-12,288.143,
2001-01,293.366,
2001-02,293.366,
2001-03,293.366,
2001-04,293.366,
2001-05,293.366,
2001-06,293.366,
2001-07,293.366,
2001-08,293.366,
2001-09,293.366,
2001-10,293.366,
2001-11,293.366,
2001-12,293.366,
2002-01,289.190,
2002-02,289.190,
2002-03,289.190,
2002-04,289.190,
2002-05,289.190,
2002-06,289.190,
2002-07,289.190,
2002-08,289.190,
2002-09,289.190,
2002-10,289.190,
2002-11,289.190,
2002-12,289.190,
2003-01,277.681,
2003-02,277.681,
2003-03,277.681,
2003-04,277.681,
2003-05,277.681,
2003-06,277.681,
2003-07,277.681,
2003-08,277.681,
2003-09,277.681,
2003-10,277.681,
2003-11,277.681,
2003-12,277.681,
2004-01,264.984,
2004-02,264.984,
2004-03,264.984,
2004-04,264.984,
2004-05,264.984,
2004-06,264.984,
2004-07,264.984,
2004-08,264.984,
2004-09,264.984,
2004-10,264.984,
2004-11,264.984,
2004-12,264.984,
2005-01,243.840,
2005-02,243.840,
2005-03,243.840,
2005-04,243.840,
2005-05,243.840,
2005-06,243.840,
2005-07,243.840,
2005-08,243.840,
2005-09,243.840,
2005-10,243.840,
2005-11,243.840,
2005-12,243.840,
2006-01,243.878,
2006-02,243.878,
2006-03,243.878,
2006-04,243.878,
2006-05,243.878,
2006-06,243.878,
2006-07,243.878,
2006-08,243.878,
2006-09,243.878,
2006-10,243.878,
2006-11,243.878,
2006-12,243.878,
2007-01,249.732,
2007-02,249.732,
2007-03,249.732,
2007-04,249.732,
2007-05,249.732,
