"",BBK01.CELP0J,BBK01.CELP0J_FLAGS
"",Time deposits  debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:40,
1999-01,2.6,
1999-04,-8.5,
1999-07,-4.3,
1999-10,5.8,
2000-01,-4.3,
2000-04,-1.0,
2000-07,-5.2,
2000-10,17.0,
2001-01,7.9,
2001-04,3.2,
2001-07,3.0,
2001-10,1.6,
2002-01,-3.0,
2002-04,-3.9,
2002-07,-0.7,
2002-10,3.1,
2003-01,-4.4,
2003-04,-5.5,
2003-07,-3.7,
2003-10,-2.6,
2004-01,-2.3,
2004-04,-4.6,
2004-07,-2.5,
2004-10,3.8,
2005-01,-1.9,
2005-04,-3.1,
2005-07,-1.2,
2005-10,6.1,
2006-01,5.1,
2006-04,2.6,
2006-07,10.4,
2006-10,11.9,
2007-01,7.7,
2007-04,6.4,
2007-07,15.0,
2007-10,22.7,
2008-01,14.1,
2008-04,13.7,
2008-07,18.6,
2008-10,26.6,
2009-01,-46.8,
2009-04,-22.6,
2009-07,-28.6,
2009-10,-19.0,
2010-01,-12.1,
2010-04,-4.6,
2010-07,-4.4,
2010-10,5.6,
2011-01,-0.5,
2011-04,5.1,
2011-07,4.0,
2011-10,9.1,
2012-01,3.6,
2012-04,0.1,
2012-07,-4.1,
2012-10,-4.9,
2013-01,-4.0,
2013-04,-2.3,
2013-07,-4.9,
2013-10,1.5,
2014-01,2.4,
2014-04,1.3,
2014-07,0.9,
