"",BBK01.OEAD16J,BBK01.OEAD16J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:21,
2002-01,0.175,
2002-04,0.150,
2002-07,0.163,
2002-10,0.118,
2003-01,0.123,
2003-04,0.131,
2003-07,0.114,
2003-10,0.122,
2004-01,0.111,
2004-04,0.087,
2004-07,0.080,
2004-10,0.085,
2005-01,0.070,
2005-04,0.080,
2005-07,0.099,
2005-10,0.095,
2006-01,0.102,
2006-04,0.085,
2006-07,0.087,
2006-10,0.094,
2007-01,0.125,
2007-04,0.144,
2007-07,0.184,
2007-10,0.061,
2008-01,0.066,
2008-04,0.067,
2008-07,0.088,
2008-10,0.090,
2009-01,0.061,
2009-04,0.058,
2009-07,0.061,
2009-10,0.057,
2010-01,0.020,
2010-04,0.067,
2010-07,0.067,
2010-10,0.085,
2011-01,0.086,
2011-04,0.086,
2011-07,0.098,
2011-10,0.085,
2012-01,0.116,
2012-04,0.100,
2012-07,0.144,
2012-10,0.177,
2013-01,0.183,
2013-04,0.178,
2013-07,0.171,
2013-10,0.249,
2014-01,0.252,
2014-04,0.247,
2014-07,0.230,
