"",BBSF2.M.1.S.00000.GEF01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Number outstanding,
unit,STUECK (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:36,
2004-01,17926,
2004-02,17926,
2004-03,17926,
2004-04,18886,
2004-05,1886,
2004-06,19511,
2004-07,19611,
2004-08,19611,
2004-09,19936,
2004-10,19980,
2004-11,21663,
2004-12,27423,
2005-01,52369,
2005-02,83955,
2005-03,150546,
2005-04,158722,
2005-05,170051,
2005-06,177512,
2005-07,209746,
2005-08,237737,
2005-09,282936,
2005-10,335836,
2005-11,399264,
2005-12,508624,
2006-01,631540,
2006-02,644869,
2006-03,664491,
2006-04,703346,
2006-05,736623,
2006-06,808312,
2006-07,810124,
2006-08,867650,
2006-09,896699,
2006-10,892030,
2006-11,902331,
2006-12,914140,
2007-01,933247,
2007-02,932274,
2007-03,930922,
2007-04,876848,
2007-05,904598,
2007-06,1143897,
2007-07,1152140,
2007-08,1147719,
2007-09,1145205,
2007-10,1171279,
2007-11,1176075,
2007-12,1120996,
2008-01,1128498,
2008-02,1134660,
2008-03,1130185,
2008-04,1132553,
2008-05,1159070,
2008-06,1154739,
2008-07,1319874,
2008-08,1327984,
2008-09,1362613,
2008-10,1349439,
2008-11,1379364,
2008-12,1379001,
2009-01,1410479,
2009-02,1414378,
2009-03,1414408,
2009-04,1701931,
2009-05,1989469,
2009-06,1932798,
2009-07,1942814,
2009-08,1951532,
2009-09,2136053,
2009-10,2143345,
2009-11,2123074,
2009-12,2161271,
2010-01,2169139,
2010-02,2172495,
2010-03,2155205,
2010-04,2204497,
2010-05,2247668,
2010-06,2249577,
2010-07,2280528,
2010-08,2292124,
2010-09,2338426,
2010-10,2334169,
2010-11,2344653,
2010-12,2275643,
2011-01,2281799,
2011-02,2283076,
2011-03,2294508,
2011-04,2319904,
2011-05,2319128,
2011-06,2330411,
2011-07,2357900,
2011-08,2354516,
2011-09,2363193,
2011-10,2375454,
2011-11,2400721,
2011-12,2410941,
2012-01,2419328,
2012-02,3049471,
2012-03,3053605,
2012-04,3138371,
2012-05,3135807,
2012-06,3170512,
2012-07,3185864,
2012-08,3157042,
2012-09,3148290,
2012-10,3154503,
2012-11,3137920,
2012-12,3145992,
2013-01,3181941,
2013-02,3179198,
2013-03,3168947,
2013-04,3176339,
2013-05,3173882,
2013-06,3205362,
2013-07,3265708,
2013-08,3269430,
2013-09,3421770,
2013-10,3447462,
2013-11,3457593,
2013-12,3698226,
2014-01,3703875,
2014-02,3723157,
2014-03,3725408,
2014-04,3737198,
2014-05,3756337,
2014-06,3773244,
2014-07,3725454,
2014-08,3547857,
2014-09,3568248,
2014-10,3753830,
2014-11,3533420,
