"",BBK01.OELB06L,BBK01.OELB06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:55,
2002-01,4.864,
2002-04,4.943,
2002-07,4.813,
2002-10,4.677,
2003-01,4.554,
2003-04,4.400,
2003-07,4.423,
2003-10,4.199,
2004-01,4.049,
2004-04,3.944,
2004-07,3.888,
2004-10,3.692,
2005-01,3.728,
2005-04,3.616,
2005-07,3.566,
2005-10,3.439,
2006-01,3.538,
2006-04,3.443,
2006-07,3.476,
2006-10,3.305,
2007-01,3.267,
2007-04,3.311,
2007-07,3.192,
2007-10,3.187,
2008-01,3.266,
2008-04,3.180,
2008-07,3.210,
2008-10,3.235,
2009-01,3.248,
2009-04,3.177,
2009-07,3.131,
2009-10,2.964,
2010-01,3.003,
2010-04,2.942,
2010-07,2.839,
2010-10,2.682,
2011-01,2.808,
2011-04,2.830,
2011-07,2.794,
2011-10,2.702,
2012-01,2.840,
2012-04,2.901,
2012-07,2.960,
2012-10,2.777,
2013-01,2.895,
2013-04,2.766,
2013-07,2.752,
2013-10,2.716,
2014-01,2.822,
2014-04,2.802,
2014-07,2.836,
