"",BBK01.QUF795,BBK01.QUF795_FLAGS
"",Foreign branches: Short-term loans and advances to non-residents / Cyprus / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:31,
2004-12,0.125,
2005-01,0.441,
2005-02,0.436,
2005-03,0.372,
2005-04,0.339,
2005-05,0.332,
2005-06,0.287,
2005-07,0.312,
2005-08,0.257,
2005-09,0.496,
2005-10,0.436,
2005-11,0.495,
2005-12,0.497,
2006-01,0.384,
2006-02,0.250,
2006-03,0.413,
2006-04,0.390,
2006-05,0.288,
2006-06,0.225,
2006-07,0.221,
2006-08,0.362,
2006-09,0.327,
2006-10,0.278,
2006-11,0.284,
2006-12,0.221,
2007-01,0.158,
2007-02,0.140,
2007-03,0.222,
2007-04,0.211,
2007-05,0.221,
2007-06,0.188,
2007-07,0.147,
2007-08,0.110,
2007-09,0.094,
2007-10,0.107,
2007-11,0.113,
2007-12,0.227,
2008-01,0.169,
2008-02,0.197,
2008-03,0.295,
2008-04,0.233,
2008-05,0.230,
2008-06,0.253,
2008-07,0.360,
2008-08,0.484,
2008-09,0.453,
2008-10,0.246,
2008-11,0.198,
2008-12,0.136,
2009-01,0.187,
2009-02,0.156,
2009-03,0.134,
2009-04,0.163,
2009-05,0.124,
2009-06,0.127,
2009-07,0.136,
2009-08,0.158,
2009-09,0.137,
2009-10,0.127,
2009-11,0.116,
2009-12,0.167,
2010-01,0.168,
2010-02,0.086,
2010-03,0.068,
2010-04,0.071,
2010-05,0.073,
2010-06,0.079,
2010-07,0.438,
2010-08,0.451,
2010-09,0.069,
2010-10,0.060,
2010-11,0.109,
2010-12,0.061,
2011-01,0.052,
2011-02,0.010,
2011-03,0.054,
2011-04,0.056,
2011-05,0.055,
2011-06,0.054,
2011-07,0.183,
2011-08,0.116,
2011-09,0.132,
2011-10,0.125,
2011-11,0.255,
2011-12,0.271,
2012-01,0.262,
2012-02,0.259,
2012-03,0.140,
2012-04,0.137,
2012-05,0.146,
2012-06,0.143,
2012-07,0.148,
2012-08,0.144,
2012-09,0.141,
2012-10,0.154,
2012-11,0.253,
2012-12,0.353,
2013-01,0.402,
2013-02,0.445,
2013-03,0.452,
2013-04,0.391,
2013-05,0.390,
2013-06,0.392,
2013-07,0.096,
2013-08,0.121,
2013-09,0.112,
2013-10,0.099,
2013-11,0.090,
2013-12,0.094,
2014-01,0.088,
2014-02,0.076,
2014-03,0.070,
2014-04,0.479,
2014-05,0.043,
2014-06,0.040,
2014-07,0.053,
2014-08,0.034,
2014-09,0.024,
2014-10,0.022,
2014-11,0.025,
