"",BBSF2.M.1.T.00000.GEF01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:01,
2009-09,17178,
2009-10,16955,
2009-11,15567,
2009-12,13626,
2010-01,14474,
2010-02,14539,
2010-03,11649,
2010-04,12184,
2010-05,14105,
2010-06,12553,
2010-07,13427,
2010-08,12952,
2010-09,13312,
2010-10,12866,
2010-11,12532,
2010-12,11678,
2011-01,12506,
2011-02,11921,
2011-03,12549,
2011-04,12500,
2011-05,12117,
2011-06,13164,
2011-07,13850,
2011-08,15674,
2011-09,16986,
2011-10,15875,
2011-11,16195,
2011-12,14980,
2012-01,14739,
2012-02,13388,
2012-03,13544,
2012-04,14550,
2012-05,14346,
2012-06,14256,
2012-07,14515,
2012-08,14701,
2012-09,14529,
2012-10,13722,
2012-11,14536,
2012-12,14201,
2013-01,15632,
2013-02,14683,
2013-03,12960,
2013-04,12809,
2013-05,12265,
2013-06,15279,
2013-07,14181,
2013-08,13635,
2013-09,13746,
2013-10,14478,
2013-11,12422,
2013-12,13263,
2014-01,13820,
2014-02,13652,
2014-03,13545,
2014-04,14011,
2014-05,14313,
2014-06,14318,
2014-07,14141,
2014-08,12394,
2014-09,12145,
2014-10,12843,
2014-11,12541,
