"",BBEX3.D.ISK.EUR.BB.AC.000,BBEX3.D.ISK.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = ISK ... / Iceland,
unit,ISK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:58:36,
1999-01-01,.,No value available
1999-01-02,.,No value available
1999-01-03,.,No value available
1999-01-04,81.48,
1999-01-05,81.53,
1999-01-06,81.54,
1999-01-07,81.06,
1999-01-08,80.99,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,80.55,
1999-01-12,80.59,
1999-01-13,81.24,
1999-01-14,80.93,
1999-01-15,80.70,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,80.62,
1999-01-19,80.52,
1999-01-20,80.49,
1999-01-21,80.32,
1999-01-22,80.44,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,80.27,
1999-01-26,80.04,
1999-01-27,79.88,
1999-01-28,79.68,
1999-01-29,79.59,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,79.66,
1999-02-02,79.50,
1999-02-03,79.60,
1999-02-04,79.32,
1999-02-05,79.44,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,79.35,
1999-02-09,79.58,
1999-02-10,79.65,
1999-02-11,79.70,
1999-02-12,79.61,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,79.51,
1999-02-16,79.68,
1999-02-17,79.92,
1999-02-18,79.93,
1999-02-19,79.75,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,79.57,
1999-02-23,79.36,
1999-02-24,79.54,
1999-02-25,79.49,
1999-02-26,79.55,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,79.16,
1999-03-02,78.93,
1999-03-03,78.87,
1999-03-04,78.96,
1999-03-05,78.77,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,78.80,
1999-03-09,78.69,
1999-03-10,78.76,
1999-03-11,78.35,
1999-03-12,78.59,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,78.65,
1999-03-16,78.45,
1999-03-17,78.77,
1999-03-18,78.82,
1999-03-19,78.48,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,78.31,
1999-03-23,78.52,
1999-03-24,78.61,
1999-03-25,78.48,
1999-03-26,78.22,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,77.89,
1999-03-30,77.98,
1999-03-31,78.10,
1999-04-01,78.31,
1999-04-02,78.33,
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,78.28,
1999-04-06,78.38,
1999-04-07,78.96,
1999-04-08,78.94,
1999-04-09,78.74,
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,79.08,
1999-04-13,78.71,
1999-04-14,78.57,
1999-04-15,78.45,
1999-04-16,77.97,
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,77.78,
1999-04-20,77.78,
1999-04-21,77.70,
1999-04-22,77.79,
1999-04-23,77.92,
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,77.87,
1999-04-27,77.99,
1999-04-28,77.94,
1999-04-29,77.89,
1999-04-30,77.93,
1999-05-01,.,No value available
1999-05-02,.,No value available
1999-05-03,78.18,
1999-05-04,78.31,
1999-05-05,78.59,
1999-05-06,79.03,
1999-05-07,79.03,
1999-05-08,.,No value available
1999-05-09,.,No value available
1999-05-10,78.95,
1999-05-11,79.05,
1999-05-12,78.63,
1999-05-13,78.60,
1999-05-14,78.57,
1999-05-15,.,No value available
1999-05-16,.,No value available
1999-05-17,78.39,
1999-05-18,78.40,
1999-05-19,78.17,
1999-05-20,78.33,
1999-05-21,78.06,
1999-05-22,.,No value available
1999-05-23,.,No value available
1999-05-24,78.21,
1999-05-25,78.37,
1999-05-26,78.09,
1999-05-27,78.10,
1999-05-28,77.98,
1999-05-29,.,No value available
1999-05-30,.,No value available
1999-05-31,77.89,
1999-06-01,77.79,
1999-06-02,77.46,
1999-06-03,77.44,
1999-06-04,77.16,
1999-06-05,.,No value available
1999-06-06,.,No value available
1999-06-07,77.19,
1999-06-08,77.31,
1999-06-09,77.54,
1999-06-10,77.55,
1999-06-11,77.38,
1999-06-12,.,No value available
1999-06-13,.,No value available
1999-06-14,77.46,
1999-06-15,77.45,
1999-06-16,76.68,
1999-06-17,76.53,
1999-06-18,76.75,
1999-06-19,.,No value available
1999-06-20,.,No value available
1999-06-21,77.27,
1999-06-22,76.94,
1999-06-23,76.70,
1999-06-24,76.72,
1999-06-25,77.26,
1999-06-26,.,No value available
1999-06-27,.,No value available
1999-06-28,77.14,
1999-06-29,76.87,
1999-06-30,77.03,
1999-07-01,76.64,
1999-07-02,76.62,
1999-07-03,.,No value available
1999-07-04,.,No value available
1999-07-05,76.58,
1999-07-06,76.61,
1999-07-07,76.66,
1999-07-08,76.72,
1999-07-09,76.87,
1999-07-10,.,No value available
1999-07-11,.,No value available
1999-07-12,76.68,
1999-07-13,76.80,
1999-07-14,76.80,
1999-07-15,76.75,
1999-07-16,76.70,
1999-07-17,.,No value available
1999-07-18,.,No value available
1999-07-19,76.47,
1999-07-20,77.28,
1999-07-21,77.67,
1999-07-22,77.77,
1999-07-23,77.49,
1999-07-24,.,No value available
1999-07-25,.,No value available
1999-07-26,78.19,
1999-07-27,77.90,
1999-07-28,77.78,
1999-07-29,78.12,
1999-07-30,77.80,
1999-07-31,.,No value available
1999-08-01,.,No value available
1999-08-02,77.63,
1999-08-03,77.58,
1999-08-04,77.94,
1999-08-05,78.17,
1999-08-06,78.05,
1999-08-07,.,No value available
1999-08-08,.,No value available
1999-08-09,77.98,
1999-08-10,78.00,
1999-08-11,77.51,
1999-08-12,77.57,
1999-08-13,77.57,
1999-08-14,.,No value available
1999-08-15,.,No value available
1999-08-16,77.02,
1999-08-17,77.07,
1999-08-18,76.92,
1999-08-19,76.65,
1999-08-20,76.65,
1999-08-21,.,No value available
1999-08-22,.,No value available
1999-08-23,76.95,
1999-08-24,76.75,
1999-08-25,76.54,
1999-08-26,76.92,
1999-08-27,76.86,
1999-08-28,.,No value available
1999-08-29,.,No value available
1999-08-30,76.82,
1999-08-31,76.91,
1999-09-01,76.98,
1999-09-02,77.22,
1999-09-03,77.26,
1999-09-04,.,No value available
1999-09-05,.,No value available
1999-09-06,76.92,
1999-09-07,76.90,
1999-09-08,76.91,
1999-09-09,76.73,
1999-09-10,76.39,
1999-09-11,.,No value available
1999-09-12,.,No value available
1999-09-13,75.72,
1999-09-14,75.96,
1999-09-15,75.96,
1999-09-16,75.93,
1999-09-17,76.06,
1999-09-18,.,No value available
1999-09-19,.,No value available
1999-09-20,75.82,
1999-09-21,75.51,
1999-09-22,75.91,
1999-09-23,75.61,
1999-09-24,75.67,
1999-09-25,.,No value available
1999-09-26,.,No value available
1999-09-27,75.59,
1999-09-28,75.75,
1999-09-29,76.06,
1999-09-30,76.37,
1999-10-01,76.42,
1999-10-02,.,No value available
1999-10-03,.,No value available
1999-10-04,76.42,
1999-10-05,76.20,
1999-10-06,76.15,
1999-10-07,76.13,
1999-10-08,75.77,
1999-10-09,.,No value available
1999-10-10,.,No value available
1999-10-11,75.62,
1999-10-12,75.63,
1999-10-13,76.43,
1999-10-14,76.16,
1999-10-15,76.36,
1999-10-16,.,No value available
1999-10-17,.,No value available
1999-10-18,76.22,
1999-10-19,76.02,
1999-10-20,75.90,
1999-10-21,75.94,
1999-10-22,75.74,
1999-10-23,.,No value available
1999-10-24,.,No value available
1999-10-25,75.51,
1999-10-26,75.33,
1999-10-27,75.01,
1999-10-28,74.71,
1999-10-29,74.46,
1999-10-30,.,No value available
1999-10-31,.,No value available
1999-11-01,74.81,
1999-11-02,74.72,
1999-11-03,74.90,
1999-11-04,74.67,
1999-11-05,74.62,
1999-11-06,.,No value available
1999-11-07,.,No value available
1999-11-08,74.71,
1999-11-09,74.69,
1999-11-10,74.41,
1999-11-11,74.62,
1999-11-12,74.22,
1999-11-13,.,No value available
1999-11-14,.,No value available
1999-11-15,74.23,
1999-11-16,74.31,
1999-11-17,74.41,
1999-11-18,74.20,
1999-11-19,74.07,
1999-11-20,.,No value available
1999-11-21,.,No value available
1999-11-22,74.01,
1999-11-23,74.27,
1999-11-24,74.03,
1999-11-25,73.87,
1999-11-26,73.50,
1999-11-27,.,No value available
1999-11-28,.,No value available
1999-11-29,73.44,
1999-11-30,73.55,
1999-12-01,73.51,
1999-12-02,73.60,
1999-12-03,73.38,
1999-12-04,.,No value available
1999-12-05,.,No value available
1999-12-06,73.86,
1999-12-07,73.94,
1999-12-08,73.77,
1999-12-09,73.63,
1999-12-10,73.57,
1999-12-11,.,No value available
1999-12-12,.,No value available
1999-12-13,73.44,
1999-12-14,73.20,
1999-12-15,73.17,
1999-12-16,73.53,
1999-12-17,73.67,
1999-12-18,.,No value available
1999-12-19,.,No value available
1999-12-20,73.25,
1999-12-21,72.99,
1999-12-22,72.82,
1999-12-23,72.67,
1999-12-24,73.04,
1999-12-25,.,No value available
1999-12-26,.,No value available
1999-12-27,72.98,
1999-12-28,72.62,
1999-12-29,72.94,
1999-12-30,72.83,
1999-12-31,.,No value available
2000-01-01,.,No value available
2000-01-02,.,No value available
2000-01-03,73.03,
2000-01-04,73.92,
2000-01-05,74.30,
2000-01-06,74.75,
2000-01-07,74.19,
2000-01-08,.,No value available
2000-01-09,.,No value available
2000-01-10,74.00,
2000-01-11,74.21,
2000-01-12,73.90,
2000-01-13,73.82,
2000-01-14,73.69,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,73.11,
2000-01-18,73.12,
2000-01-19,73.33,
2000-01-20,73.09,
2000-01-21,73.00,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,72.90,
2000-01-25,72.88,
2000-01-26,72.97,
2000-01-27,72.58,
2000-01-28,72.24,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,72.16,
2000-02-01,71.65,
2000-02-02,72.04,
2000-02-03,72.14,
2000-02-04,72.54,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,72.56,
2000-02-08,72.62,
2000-02-09,72.79,
2000-02-10,72.55,
2000-02-11,72.24,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,72.15,
2000-02-15,71.27,
2000-02-16,71.41,
2000-02-17,71.71,
2000-02-18,71.44,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,71.63,
2000-02-22,72.26,
2000-02-23,72.33,
2000-02-24,71.80,
2000-02-25,71.59,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,70.90,
2000-02-29,71.20,
2000-03-01,70.90,
2000-03-02,71.15,
2000-03-03,70.89,
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,71.19,
2000-03-07,71.08,
2000-03-08,70.98,
2000-03-09,71.05,
2000-03-10,70.89,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,71.27,
2000-03-14,71.00,
2000-03-15,71.12,
2000-03-16,71.18,
2000-03-17,71.14,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,71.39,
2000-03-21,71.32,
2000-03-22,71.20,
2000-03-23,71.15,
2000-03-24,71.29,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,71.15,
2000-03-28,70.94,
2000-03-29,70.69,
2000-03-30,70.43,
2000-03-31,70.35,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,70.28,
2000-04-04,70.28,
2000-04-05,70.75,
2000-04-06,70.58,
2000-04-07,70.48,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,70.51,
2000-04-11,70.63,
2000-04-12,70.46,
2000-04-13,70.15,
2000-04-14,70.22,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,70.35,
2000-04-18,70.09,
2000-04-19,69.95,
2000-04-20,69.55,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,69.31,
2000-04-26,69.02,
2000-04-27,68.98,
2000-04-28,68.57,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,69.02,
2000-05-03,68.07,
2000-05-04,68.37,
2000-05-05,68.58,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,68.92,
2000-05-09,69.03,
2000-05-10,69.42,
2000-05-11,69.61,
2000-05-12,69.22,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,69.55,
2000-05-16,69.33,
2000-05-17,68.94,
2000-05-18,69.02,
2000-05-19,68.78,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,69.21,
2000-05-23,69.78,
2000-05-24,69.83,
2000-05-25,69.54,
2000-05-26,70.10,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,70.50,
2000-05-30,70.73,
2000-05-31,70.42,
2000-06-01,70.49,
2000-06-02,70.64,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,70.94,
2000-06-06,71.52,
2000-06-07,71.99,
2000-06-08,72.30,
2000-06-09,71.90,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,71.86,
2000-06-13,72.19,
2000-06-14,72.85,
2000-06-15,72.72,
2000-06-16,72.92,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,72.87,
2000-06-20,72.61,
2000-06-21,72.42,
2000-06-22,72.53,
2000-06-23,73.50,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,72.23,
2000-06-27,72.69,
2000-06-28,72.69,
2000-06-29,72.85,
2000-06-30,73.10,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,72.93,
2000-07-04,73.01,
2000-07-05,73.26,
2000-07-06,73.41,
2000-07-07,73.10,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,73.13,
2000-07-11,73.21,
2000-07-12,73.38,
2000-07-13,74.29,
2000-07-14,75.05,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,74.47,
2000-07-18,74.14,
2000-07-19,73.39,
2000-07-20,73.12,
2000-07-21,73.60,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,73.49,
2000-07-25,73.67,
2000-07-26,73.68,
2000-07-27,73.03,
2000-07-28,72.69,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,72.67,
2000-08-01,72.51,
2000-08-02,71.93,
2000-08-03,72.34,
2000-08-04,72.79,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,72.57,
2000-08-08,72.71,
2000-08-09,72.13,
2000-08-10,72.20,
2000-08-11,72.79,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,72.24,
2000-08-15,72.68,
2000-08-16,72.49,
2000-08-17,72.79,
2000-08-18,72.88,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,72.48,
2000-08-22,72.07,
2000-08-23,71.96,
2000-08-24,72.43,
2000-08-25,72.30,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,72.32,
2000-08-29,72.42,
2000-08-30,72.24,
2000-08-31,72.20,
2000-09-01,72.06,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,72.54,
2000-09-05,72.21,
2000-09-06,72.14,
2000-09-07,71.83,
2000-09-08,72.25,
2000-09-09,.,No value available
