"",BBK01.OEYB09N,BBK01.OEYB09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:29,
2002-01,39.665,
2002-04,39.524,
2002-07,39.211,
2002-10,40.339,
2003-01,39.636,
2003-04,38.023,
2003-07,38.066,
2003-10,32.010,
2004-01,31.575,
2004-04,30.497,
2004-07,29.923,
2004-10,29.726,
2005-01,31.605,
2005-04,29.583,
2005-07,30.406,
2005-10,31.908,
2006-01,40.978,
2006-04,42.537,
2006-07,43.700,
2006-10,43.523,
2007-01,44.715,
2007-04,47.128,
2007-07,48.321,
2007-10,47.882,
2008-01,47.999,
2008-04,49.522,
2008-07,45.240,
2008-10,45.175,
2009-01,44.934,
2009-04,48.011,
2009-07,45.331,
2009-10,45.377,
2010-01,46.077,
2010-04,47.340,
2010-07,46.547,
2010-10,46.961,
2011-01,45.531,
2011-04,47.523,
2011-07,53.442,
2011-10,52.504,
2012-01,53.045,
2012-04,46.227,
2012-07,45.170,
2012-10,40.308,
2013-01,42.569,
2013-04,41.393,
2013-07,36.461,
2013-10,36.288,
2014-01,36.240,
2014-04,36.513,
2014-07,36.504,
