"",BBK01.OELB05P,BBK01.OELB05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:44,
2002-01,5.760,
2002-04,5.789,
2002-07,5.665,
2002-10,5.626,
2003-01,5.708,
2003-04,5.713,
2003-07,5.699,
2003-10,5.723,
2004-01,5.700,
2004-04,5.701,
2004-07,5.722,
2004-10,5.671,
2005-01,5.606,
2005-04,5.584,
2005-07,5.617,
2005-10,5.578,
2006-01,5.568,
2006-04,5.648,
2006-07,5.611,
2006-10,5.628,
2007-01,5.582,
2007-04,5.585,
2007-07,5.605,
2007-10,5.635,
2008-01,5.590,
2008-04,5.693,
2008-07,5.727,
2008-10,5.697,
2009-01,5.686,
2009-04,5.723,
2009-07,5.779,
2009-10,5.819,
2010-01,5.843,
2010-04,5.922,
2010-07,5.970,
2010-10,6.030,
2011-01,6.057,
2011-04,6.168,
2011-07,6.250,
2011-10,6.275,
2012-01,6.339,
2012-04,6.869,
2012-07,6.924,
2012-10,6.969,
2013-01,6.977,
2013-04,7.004,
2013-07,6.871,
2013-10,6.888,
2014-01,6.857,
2014-04,6.856,
2014-07,6.866,
