"",BBFB1.Q.N.DE.NL.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:14,
1991-01,-991.933,
1991-04,-998.123,
1991-07,-325.615,
1991-10,-1301.454,
1992-01,-763.787,
1992-04,-1059.815,
1992-07,-545.782,
1992-10,-1273.597,
1993-01,-120.691,
1993-04,8.223,
1993-07,-347.245,
1993-10,-594.572,
1994-01,232.147,
1994-04,224.069,
1994-07,611.198,
1994-10,-358.821,
1995-01,47.987,
1995-04,-311.500,
1995-07,206.420,
1995-10,-264.799,
1996-01,226.218,
1996-04,98.025,
1996-07,163.050,
1996-10,-150.156,
1997-01,-515.684,
1997-04,-199.056,
1997-07,-361.328,
1997-10,-332.976,
1998-01,-187.192,
1998-04,-207.801,
1998-07,74.848,
1998-10,-320.856,
1999-01,-288.284,
1999-04,-429.080,
1999-07,2.331,
1999-10,-572.684,
2000-01,-506.062,
2000-04,-1047.341,
2000-07,-1288.826,
2000-10,-2093.256,
2001-01,-793.164,
2001-04,-971.514,
2001-07,-579.132,
2001-10,-554.520,
2002-01,194.228,
2002-04,197.579,
2002-07,-234.753,
2002-10,118.195,
2003-01,-327.229,
2003-04,-360.255,
2003-07,288.806,
2003-10,-242.617,
2004-01,119.316,
2004-04,-103.992,
2004-07,-286.171,
2004-10,-893.218,
2005-01,-613.288,
2005-04,145.614,
2005-07,-961.129,
2005-10,-216.751,
2006-01,-96.426,
2006-04,120.372,
2006-07,-811.898,
2006-10,-960.685,
2007-01,978.731,
2007-04,1262.312,
2007-07,-164.411,
2007-10,-841.685,
2008-01,-740.887,
2008-04,-281.843,
2008-07,-1548.019,
2008-10,-1969.351,
2009-01,-2040.681,
2009-04,-387.874,
2009-07,-1350.753,
2009-10,-1599.877,
2010-01,-1612.675,
2010-04,-1370.193,
2010-07,-2065.386,
2010-10,-2834.057,
2011-01,-3462.490,
2011-04,-4039.462,
2011-07,-3979.026,
2011-10,-4238.154,
2012-01,-3643.138,
2012-04,-3956.557,
2012-07,-4329.971,
2012-10,-5357.490,
2013-01,-4339.319,
2013-04,-5449.391,
2013-07,-4827.586,
2013-10,-5287.067,
2014-01,-3724.140,Provisional value
2014-04,-4578.415,Provisional value
2014-07,-4041.763,Provisional value
