"",BBK01.OEXM05M,BBK01.OEXM05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:56,
2002-01,0.027,
2002-04,0.027,
2002-07,0.037,
2002-10,0.037,
2003-01,0.038,
2003-04,0.037,
2003-07,0.036,
2003-10,0.036,
2004-01,0.035,
2004-04,0.038,
2004-07,0.043,
2004-10,0.057,
2005-01,0.056,
2005-04,0.055,
2005-07,0.042,
2005-10,0.044,
2006-01,0.043,
2006-04,0.043,
2006-07,0.042,
2006-10,0.050,
2007-01,0.054,
2007-04,0.053,
2007-07,0.052,
2007-10,0.046,
2008-01,0.034,
2008-04,0.036,
2008-07,0.018,
2008-10,0.017,
2009-01,0.017,
2009-04,0.054,
2009-07,0.055,
2009-10,0.062,
2010-01,0.070,
2010-04,0.070,
2010-07,0.070,
2010-10,0.090,
2011-01,0.086,
2011-04,0.086,
2011-07,0.087,
2011-10,0.086,
2012-01,0.085,
2012-04,0.085,
2012-07,0.085,
2012-10,0.079,
2013-01,0.087,
2013-04,0.088,
2013-07,0.104,
2013-10,0.104,
2014-01,0.101,
2014-04,0.100,
2014-07,0.101,
