"",BBK01.OEBI03H,BBK01.OEBI03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:25,
2002-01,65.400,
2002-04,62.805,
2002-07,63.184,
2002-10,62.107,
2003-01,59.749,
2003-04,58.254,
2003-07,57.161,
2003-10,57.675,
2004-01,56.637,
2004-04,55.151,
2004-07,54.263,
2004-10,54.318,
2005-01,55.111,
2005-04,54.461,
2005-07,54.993,
2005-10,55.634,
2006-01,54.051,
2006-04,53.883,
2006-07,58.138,
2006-10,60.329,
2007-01,62.081,
2007-04,63.310,
2007-07,72.614,
2007-10,79.829,
2008-01,74.708,
2008-04,77.331,
2008-07,80.573,
2008-10,94.593,
2009-01,83.440,
2009-04,94.691,
2009-07,79.639,
2009-10,74.425,
2010-01,71.004,
2010-04,66.023,
2010-07,67.164,
2010-10,65.819,
2011-01,67.291,
2011-04,72.124,
2011-07,84.238,
2011-10,84.665,
2012-01,79.402,
2012-04,79.628,
2012-07,83.435,
2012-10,71.007,
2013-01,74.719,
2013-04,82.233,
2013-07,61.375,
2013-10,63.844,
2014-01,64.120,
2014-04,61.181,
2014-07,60.611,
