"",BBFB1.Q.N.DE.IE.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:44,
1991-01,6.502,
1991-04,6.732,
1991-07,-0.224,
1991-10,2.126,
1992-01,-0.173,
1992-04,-0.946,
1992-07,0.674,
1992-10,-2.230,
1993-01,-4.828,
1993-04,-3.412,
1993-07,-4.494,
1993-10,-8.453,
1994-01,-7.592,
1994-04,-0.603,
1994-07,-4.208,
1994-10,-29.591,
1995-01,-8.193,
1995-04,-4.913,
1995-07,-5.156,
1995-10,-11.712,
1996-01,-8.692,
1996-04,-5.008,
1996-07,-9.287,
1996-10,-7.702,
1997-01,-9.767,
1997-04,-7.129,
1997-07,-7.835,
1997-10,-8.925,
1998-01,-8.858,
1998-04,-10.694,
1998-07,-11.121,
1998-10,-10.160,
1999-01,-6.698,
1999-04,-4.965,
1999-07,9.510,
1999-10,-17.674,
2000-01,-5.336,
2000-04,-4.878,
2000-07,-5.210,
2000-10,15.274,
2001-01,-4.437,
2001-04,9.537,
2001-07,-5.627,
2001-10,53.147,
2002-01,-26.641,
2002-04,-16.813,
2002-07,-5.368,
2002-10,-7.558,
2003-01,-15.999,
2003-04,-19.954,
2003-07,-1.768,
2003-10,-23.443,
2004-01,-10.825,
2004-04,-12.082,
2004-07,-10.187,
2004-10,-10.200,
2005-01,-4.089,
2005-04,1.238,
2005-07,-7.841,
2005-10,1.242,
2006-01,2.076,
2006-04,10.015,
2006-07,5.571,
2006-10,-9.461,
2007-01,-198.948,
2007-04,-10.432,
2007-07,-17.966,
2007-10,-21.274,
2008-01,-17.178,
2008-04,-59.664,
2008-07,-14.151,
2008-10,-33.535,
2009-01,-24.036,
2009-04,-3.068,
2009-07,-19.952,
2009-10,-29.607,
2010-01,-62.224,
2010-04,-16.730,
2010-07,-40.535,
2010-10,-30.815,
2011-01,-17.000,
2011-04,87.131,
2011-07,-49.540,
2011-10,-57.832,
2012-01,-39.791,
2012-04,-30.781,
2012-07,-48.618,
2012-10,-54.072,
2013-01,-74.010,
2013-04,-88.944,
2013-07,-75.342,
2013-10,-82.720,
2014-01,-93.464,Provisional value
2014-04,-69.277,Provisional value
2014-07,-20.692,Provisional value
