"",BBK01.OECB10G,BBK01.OECB10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:45,
2002-01,5.234,
2002-04,5.182,
2002-07,5.345,
2002-10,4.871,
2003-01,4.133,
2003-04,4.248,
2003-07,4.278,
2003-10,4.039,
2004-01,4.118,
2004-04,4.121,
2004-07,3.865,
2004-10,3.510,
2005-01,3.329,
2005-04,4.328,
2005-07,3.488,
2005-10,2.805,
2006-01,3.429,
2006-04,3.924,
2006-07,3.628,
2006-10,3.319,
2007-01,3.787,
2007-04,4.138,
2007-07,4.322,
2007-10,4.143,
2008-01,4.635,
2008-04,5.015,
2008-07,5.256,
2008-10,5.033,
2009-01,6.486,
2009-04,5.919,
2009-07,5.568,
2009-10,4.249,
2010-01,4.643,
2010-04,4.533,
2010-07,3.910,
2010-10,3.536,
2011-01,3.900,
2011-04,4.337,
2011-07,4.244,
2011-10,3.791,
2012-01,4.128,
2012-04,4.695,
2012-07,4.161,
2012-10,3.939,
2013-01,4.566,
2013-04,4.505,
2013-07,4.254,
2013-10,4.226,
2014-01,4.527,
2014-04,4.671,
2014-07,4.477,
