"",BBK01.OEAF12L,BBK01.OEAF12L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:16,
2002-01,5.313,
2002-04,5.138,
2002-07,5.365,
2002-10,5.069,
2003-01,4.956,
2003-04,5.259,
2003-07,5.306,
2003-10,5.327,
2004-01,5.407,
2004-04,5.750,
2004-07,5.792,
2004-10,5.625,
2005-01,5.157,
2005-04,5.402,
2005-07,5.296,
2005-10,4.937,
2006-01,4.830,
2006-04,4.926,
2006-07,5.110,
2006-10,4.937,
2007-01,4.721,
2007-04,5.595,
2007-07,4.981,
2007-10,5.142,
2008-01,4.907,
2008-04,5.002,
2008-07,5.412,
2008-10,5.279,
2009-01,5.053,
2009-04,5.007,
2009-07,5.531,
2009-10,5.654,
2010-01,5.272,
2010-04,5.184,
2010-07,5.350,
2010-10,5.470,
2011-01,5.107,
2011-04,5.218,
2011-07,5.261,
2011-10,5.318,
2012-01,5.120,
2012-04,5.056,
2012-07,5.272,
2012-10,5.305,
2013-01,5.209,
2013-04,5.293,
2013-07,5.350,
2013-10,5.317,
2014-01,5.385,
2014-04,5.472,
2014-07,5.455,
