"",BBK01.CEF40N,BBK01.CEF40N_FLAGS
"",Loans                                                           debtor: Total           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:15,
1999-01,194.0,
1999-04,217.0,
1999-07,218.7,
1999-10,246.2,
2000-01,278.3,
2000-04,304.3,
2000-07,345.9,
2000-10,384.8,
2001-01,403.4,
2001-04,419.0,
2001-07,443.4,
2001-10,439.3,
2002-01,444.5,
2002-04,466.8,
2002-07,473.7,
2002-10,477.7,
2003-01,492.0,
2003-04,512.2,
2003-07,520.7,
2003-10,493.0,
2004-01,475.0,
2004-04,477.8,
2004-07,472.3,
2004-10,454.8,
2005-01,453.6,
2005-04,457.4,
2005-07,466.9,
2005-10,488.4,
2006-01,512.6,
2006-04,541.3,
2006-07,550.3,
2006-10,553.7,
2007-01,571.4,
2007-04,597.4,
2007-07,603.0,
2007-10,562.6,
2008-01,592.4,
2008-04,615.8,
2008-07,607.6,
2008-10,626.3,
2009-01,635.8,
2009-04,639.9,
2009-07,641.4,
2009-10,672.8,
2010-01,658.1,
2010-04,681.6,
2010-07,716.2,
2010-10,822.2,
2011-01,811.9,
2011-04,838.5,
2011-07,891.4,
2011-10,902.3,
2012-01,909.7,
2012-04,953.0,
2012-07,919.0,
2012-10,919.8,
2013-01,948.0,
2013-04,1002.5,
2013-07,889.9,
2013-10,867.7,
2014-01,870.4,
2014-04,894.2,
2014-07,890.3,
