"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.FR.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.FR.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / France / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:40,
2009-09,2409,
2009-10,2272,
2009-11,2615,
2009-12,2497,
2010-01,2723,
2010-02,2720,
2010-03,2711,
2010-04,2694,
2010-05,2902,
2010-06,2836,
2010-07,2928,
2010-08,2942,
2010-09,3030,
2010-10,2954,
2010-11,2908,
2010-12,2800,
2011-01,2917,
2011-02,2953,
2011-03,2943,
2011-04,3061,
2011-05,3192,
2011-06,3172,
2011-07,3183,
2011-08,2965,
2011-09,2968,
2011-10,2778,
2011-11,2661,
2011-12,2589,
2012-01,2810,
2012-02,3243,
2012-03,3322,
2012-04,3290,
2012-05,3130,
2012-06,3137,
2012-07,3180,
2012-08,3290,
2012-09,3347,
2012-10,3442,
2012-11,3616,
2012-12,3599,
2013-01,3395,
2013-02,3280,
2013-03,3428,
2013-04,3524,
2013-05,3427,
2013-06,3289,
2013-07,3326,
2013-08,3325,
2013-09,3327,
2013-10,3382,
2013-11,3467,
2013-12,3465,
2014-01,3589,
2014-02,3684,
2014-03,3736,
2014-04,3707,
2014-05,3728,
2014-06,3752,
2014-07,3762,
2014-08,3793,
2014-09,3920,
2014-10,3846,
2014-11,3942,
