"",BBSF2.M.1.T.00000.TOT01.I.F.INV.DE.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.DE.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:10,
2009-09,55400,
2009-10,58749,
2009-11,60835,
2009-12,63923,
2010-01,64498,
2010-02,65312,
2010-03,67983,
2010-04,68906,
2010-05,69617,
2010-06,69773,
2010-07,71291,
2010-08,76675,
2010-09,78438,
2010-10,80038,
2010-11,81824,
2010-12,83770,
2011-01,82109,
2011-02,86315,
2011-03,85158,
2011-04,86239,
2011-05,86798,
2011-06,86226,
2011-07,87313,
2011-08,83070,
2011-09,82096,
2011-10,84398,
2011-11,86453,
2011-12,90235,
2012-01,92547,
2012-02,99325,
2012-03,99931,
2012-04,100897,
2012-05,100739,
2012-06,102413,
2012-07,113822,
2012-08,115327,
2012-09,116428,
2012-10,118726,
2012-11,120739,
2012-12,126140,
2013-01,128125,
2013-02,130023,
2013-03,132609,
2013-04,136988,
2013-05,135307,
2013-06,131401,
2013-07,136127,
2013-08,134942,
2013-09,137805,
2013-10,142171,
2013-11,143881,
2013-12,143505,
2014-01,142999,
2014-02,145898,
2014-03,145167,
2014-04,146545,
2014-05,149715,
2014-06,150382,
2014-07,155113,
2014-08,159339,
2014-09,158149,
2014-10,159087,
2014-11,163056,
