"",BBEX3.D.BGN.USD.CA.AC.000,BBEX3.D.BGN.USD.CA.AC.000_FLAGS
1999-11-30,1.93704,
1999-12-01,1.93819,
1999-12-02,1.94474,
1999-12-03,1.95290,
1999-12-04,.,No value available
1999-12-05,.,No value available
1999-12-06,1.92087,
1999-12-07,1.91018,
1999-12-08,1.91074,
1999-12-09,1.92219,
1999-12-10,1.92864,
1999-12-11,.,No value available
1999-12-12,.,No value available
1999-12-13,1.93111,
1999-12-14,1.94843,
1999-12-15,1.95173,
1999-12-16,1.92769,
1999-12-17,1.93111,
1999-12-18,.,No value available
1999-12-19,.,No value available
1999-12-20,1.93723,
1999-12-21,1.93954,
1999-12-22,1.94146,
1999-12-23,1.93858,
1999-12-24,.,No value available
1999-12-25,.,No value available
1999-12-26,.,No value available
1999-12-27,1.92997,
1999-12-28,1.93858,
1999-12-29,1.94185,
1999-12-30,1.94687,
1999-12-31,.,No value available
2000-01-01,.,No value available
2000-01-02,.,No value available
2000-01-03,.,No value available
2000-01-04,1.89794,
2000-01-05,1.88641,
2000-01-06,1.88278,
2000-01-07,1.90182,
2000-01-08,.,No value available
2000-01-09,.,No value available
2000-01-10,1.91204,
2000-01-11,1.90701,
2000-01-12,1.89739,
2000-01-13,1.90330,
2000-01-14,1.91279,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,1.93762,
2000-01-18,1.93781,
2000-01-19,1.93551,
2000-01-20,1.93858,
2000-01-21,1.93704,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,1.95056,
2000-01-25,1.95427,
2000-01-26,1.95212,
2000-01-27,1.96054,
2000-01-28,1.98602,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,1.99758,
2000-02-01,2.01424,
2000-02-02,2.01279,
2000-02-03,2.00639,
2000-02-04,1.98864,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,2.00249,
2000-02-08,1.97499,
2000-02-09,1.96882,
2000-02-10,1.98199,
2000-02-11,1.99554,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,1.98219,
2000-02-15,2.00024,
2000-02-16,1.99493,
2000-02-17,1.97180,
2000-02-18,1.98420,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,1.98420,
2000-02-22,1.95154,
2000-02-23,1.94262,
2000-02-24,1.97599,
2000-02-25,1.99310,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,2.02908,
2000-02-29,2.01341,
2000-03-01,2.02320,
2000-03-02,2.01114,
2000-03-03,.,No value available
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,2.02887,
2000-03-07,2.03881,
2000-03-08,2.04949,
2000-03-09,2.03393,
2000-03-10,2.03457,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,2.01300,
2000-03-14,2.03309,
2000-03-15,2.02740,
2000-03-16,2.02404,
2000-03-17,2.02216,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,2.01321,
2000-03-21,2.01611,
2000-03-22,2.03669,
2000-03-23,2.02551,
2000-03-24,2.01321,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,2.01383,
2000-03-28,2.02740,
2000-03-29,2.04414,
2000-03-30,2.04692,
2000-03-31,2.04735,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,2.04499,
2000-04-04,2.05057,
2000-04-05,2.02195,
2000-04-06,2.03203,
2000-04-07,2.04499,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,2.03945,
2000-04-11,2.03860,
2000-04-12,2.04243,
2000-04-13,2.05078,
2000-04-14,2.05014,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,2.04307,
2000-04-18,2.05942,
2000-04-19,2.06726,
2000-04-20,2.08600,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,2.08600,
2000-04-25,2.10259,
2000-04-26,2.12752,
2000-04-27,2.13449,
2000-04-28,2.15281,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,2.14549,
2000-05-03,2.19436,
2000-05-04,2.18602,
2000-05-05,2.17701,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,2.18480,
2000-05-09,2.17847,
2000-05-10,2.14761,
2000-05-11,2.15424,
2000-05-12,2.16616,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,2.13822,
2000-05-16,2.15756,
2000-05-17,2.19214,
2000-05-18,2.18724,
2000-05-19,2.20375,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,2.17314,
2000-05-23,2.14667,
2000-05-24,.,No value available
2000-05-25,2.17774,
2000-05-26,2.13916,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,2.11167,
2000-05-30,2.08979,
2000-05-31,2.10236,
2000-06-01,2.09628,
2000-06-02,2.09068,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,2.07339,
2000-06-06,2.06202,
2000-06-07,2.04713,
2000-06-08,2.02299,
2000-06-09,2.06094,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,2.05293,
2000-06-13,2.04094,
2000-06-14,2.02971,
2000-06-15,2.05358,
2000-06-16,2.04478,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,2.02887,
2000-06-20,2.05057,
2000-06-21,2.06529,
2000-06-22,2.07956,
2000-06-23,2.07780,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,2.09696,
2000-06-27,2.08045,
2000-06-28,2.07736,
2000-06-29,2.05790,
2000-06-30,2.04670,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,2.06029,
2000-07-04,2.06159,
2000-07-05,2.05078,
2000-07-06,2.04971,
2000-07-07,2.06246,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,2.05380,
2000-07-11,2.05293,
2000-07-12,2.05899,
2000-07-13,2.09202,
2000-07-14,2.09314,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,2.09135,
2000-07-18,2.09113,
2000-07-19,2.12221,
2000-07-20,2.12129,
2000-07-21,2.08889,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,2.09583,
2000-07-25,2.07846,
2000-07-26,2.08289,
2000-07-27,2.08311,
2000-07-28,2.10848,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,2.11601,
2000-08-01,2.11122,
2000-08-02,2.13939,
2000-08-03,2.16640,
2000-08-04,2.16568,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,2.15305,
2000-08-08,2.16185,
2000-08-09,2.17968,
2000-08-10,2.16568,
2000-08-11,2.14173,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,2.17049,
2000-08-15,2.14502,
2000-08-16,2.15590,
2000-08-17,2.13986,
2000-08-18,2.14291,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,2.16761,
2000-08-22,2.17993,
2000-08-23,2.19313,
2000-08-24,2.17025,
2000-08-25,2.16809,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,2.17146,
2000-08-29,2.18163,
2000-08-30,2.19534,
2000-08-31,2.19608,
2000-09-01,2.19707,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,2.17314,
2000-09-05,2.20102,
2000-09-06,.,No value available
2000-09-07,2.25430,
2000-09-08,2.23907,
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,2.27184,
2000-09-12,2.27052,
2000-09-13,2.26003,
2000-09-14,2.24989,
2000-09-15,2.27026,
2000-09-16,.,No value available
2000-09-17,.,No value available
2000-09-18,2.29396,
2000-09-19,2.28993,
2000-09-20,2.30749,
2000-09-21,2.29450,
2000-09-22,.,No value available
2000-09-23,.,No value available
2000-09-24,.,No value available
2000-09-25,2.23014,
2000-09-26,2.23345,
2000-09-27,2.20723,
2000-09-28,2.21448,
2000-09-29,2.23141,
2000-09-30,.,No value available
2000-10-01,.,No value available
2000-10-02,2.22203,
2000-10-03,2.23192,
2000-10-04,2.24036,
2000-10-05,2.22608,
2000-10-06,2.24731,
2000-10-07,.,No value available
2000-10-08,.,No value available
2000-10-09,2.24937,
2000-10-10,2.24267,
2000-10-11,2.24292,
2000-10-12,2.26160,
2000-10-13,2.26710,
2000-10-14,.,No value available
2000-10-15,.,No value available
2000-10-16,2.29800,
2000-10-17,2.30206,
2000-10-18,2.29423,
2000-10-19,2.32532,
2000-10-20,2.31404,
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,2.33476,
2000-10-24,2.33226,
2000-10-25,2.35444,
2000-10-26,2.37013,
2000-10-27,2.34963,
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,2.30586,
2000-10-31,2.32367,
2000-11-01,2.28645,
2000-11-02,2.26212,
2000-11-03,2.24036,
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,2.25664,
2000-11-07,2.27766,
2000-11-08,2.28512,
2000-11-09,2.29262,
2000-11-10,2.25508,
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,2.26894,
2000-11-14,2.27873,
2000-11-15,2.27528,
2000-11-16,2.28245,
2000-11-17,2.29154,
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,2.30423,
2000-11-21,2.30804,
2000-11-22,2.32036,
2000-11-23,2.32091,
2000-11-24,2.31843,
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,2.32671,
2000-11-28,2.28458,
2000-11-29,2.26108,
2000-11-30,2.25222,
2000-12-01,2.23907,
2000-12-02,.,No value available
2000-12-03,.,No value available
2000-12-04,2.19559,
2000-12-05,2.22001,
2000-12-06,2.21548,
2000-12-07,2.18700,
2000-12-08,2.19880,
2000-12-09,.,No value available
2000-12-10,.,No value available
2000-12-11,2.22152,
2000-12-12,2.22709,
2000-12-13,2.23575,
2000-12-14,2.21273,
2000-12-15,2.17701,
2000-12-16,.,No value available
2000-12-17,.,No value available
2000-12-18,2.18139,
2000-12-19,2.19682,
2000-12-20,2.15899,
2000-12-21,2.13845,
2000-12-22,2.11670,
2000-12-23,.,No value available
2000-12-24,.,No value available
2000-12-25,.,No value available
2000-12-26,.,No value available
2000-12-27,2.10078,
2000-12-28,2.10644,
2000-12-29,2.10191,
2000-12-30,.,No value available
2000-12-31,.,No value available
2001-01-01,.,No value available
2001-01-02,2.07559,
2001-01-03,2.05229,
2001-01-04,2.06791,
2001-01-05,2.04906,
2001-01-06,.,No value available
2001-01-07,.,No value available
2001-01-08,2.05942,
2001-01-09,2.08045,
2001-01-10,2.07802,
2001-01-11,2.05380,
2001-01-12,2.04906,
2001-01-13,.,No value available
2001-01-14,.,No value available
2001-01-15,2.07449,
2001-01-16,2.07802,
2001-01-17,2.08156,
2001-01-18,2.07979,
2001-01-19,2.08067,
2001-01-20,.,No value available
2001-01-21,.,No value available
2001-01-22,2.10531,
2001-01-23,2.07912,
2001-01-24,2.10440,
2001-01-25,2.13845,
2001-01-26,2.11945,
2001-01-27,.,No value available
2001-01-28,.,No value available
2001-01-29,2.12752,
2001-01-30,2.12660,
2001-01-31,2.10463,
2001-02-01,2.07934,
2001-02-02,2.07912,
2001-02-03,.,No value available
2001-02-04,.,No value available
2001-02-05,2.07515,
2001-02-06,2.09808,
2001-02-07,2.09740,
2001-02-08,2.12129,
2001-02-09,2.11968,
2001-02-10,.,No value available
2001-02-11,.,No value available
2001-02-12,2.10576,
2001-02-13,2.10871,
2001-02-14,2.13100,
2001-02-15,2.15163,
2001-02-16,2.14620,
2001-02-17,.,No value available
2001-02-18,.,No value available
2001-02-19,2.12290,
2001-02-20,2.15637,
2001-02-21,2.13845,
2001-02-22,2.15971,
2001-02-23,2.15780,
2001-02-24,.,No value available
2001-02-25,.,No value available
2001-02-26,2.14808,
2001-02-27,2.13449,
2001-02-28,2.11487,
2001-03-01,2.11008,
2001-03-02,2.08889,
2001-03-03,.,No value available
2001-03-04,.,No value available
2001-03-05,2.10191,
2001-03-06,2.10780,
2001-03-07,2.10146,
2001-03-08,2.10033,
2001-03-09,2.09023,
2001-03-10,.,No value available
2001-03-11,.,No value available
2001-03-12,2.10939,
2001-03-13,2.12544,
2001-03-14,2.13007,
2001-03-15,2.15780,
2001-03-16,2.18602,
2001-03-17,.,No value available
2001-03-18,.,No value available
2001-03-19,2.17411,
2001-03-20,2.16833,
2001-03-21,2.17556,
2001-03-22,2.20028,
2001-03-23,2.19214,
2001-03-24,.,No value available
2001-03-25,.,No value available
2001-03-26,2.18895,
2001-03-27,2.18480,
2001-03-28,2.20748,
2001-03-29,2.21248,
2001-03-30,2.21448,
2001-03-31,.,No value available
2001-04-01,.,No value available
2001-04-02,2.22963,
2001-04-03,2.21123,
2001-04-04,2.16545,
2001-04-05,2.16833,
2001-04-06,2.18773,
2001-04-07,.,No value available
2001-04-08,.,No value available
2001-04-09,2.16881,
2001-04-10,2.18651,
2001-04-11,2.21248,
2001-04-12,2.21023,
2001-04-13,0.00000,
2001-04-14,.,No value available
2001-04-15,.,No value available
2001-04-16,.,No value available
2001-04-17,2.22481,
2001-04-18,2.22810,
2001-04-19,2.21574,
2001-04-20,2.17580,
2001-04-21,.,No value available
2001-04-22,.,No value available
2001-04-23,2.17266,
2001-04-24,2.17968,
2001-04-25,2.18602,
2001-04-26,2.17001,
2001-04-27,2.16761,
2001-04-28,.,No value available
2001-04-29,.,No value available
2001-04-30,.,No value available
2001-05-01,.,No value available
2001-05-02,2.19583,
2001-05-03,2.19682,
2001-05-04,2.18797,
2001-05-05,.,No value available
2001-05-06,.,No value available
2001-05-07,2.19288,
2001-05-08,2.20599,
2001-05-09,2.21574,
2001-05-10,2.20998,
2001-05-11,2.22937,
2001-05-12,.,No value available
2001-05-13,.,No value available
2001-05-14,2.23651,
2001-05-15,2.23065,
2001-05-16,2.21398,
2001-05-17,2.21875,
2001-05-18,2.22836,
2001-05-19,.,No value available
2001-05-20,.,No value available
2001-05-21,2.23421,
2001-05-22,2.25196,
2001-05-23,2.27819,
2001-05-24,.,No value available
2001-05-25,.,No value available
2001-05-26,.,No value available
2001-05-27,.,No value available
2001-05-28,2.27846,
2001-05-29,2.28699,
2001-05-30,2.28538,
2001-05-31,2.30640,
2001-06-01,2.30695,
2001-06-02,.,No value available
2001-06-03,.,No value available
2001-06-04,2.29746,
2001-06-05,2.31049,
2001-06-06,2.28939,
2001-06-07,2.31022,
2001-06-08,2.30967,
2001-06-09,.,No value available
2001-06-10,.,No value available
2001-06-11,2.30260,
2001-06-12,2.30804,
2001-06-13,2.28966,
2001-06-14,2.30314,
2001-06-15,2.25794,
2001-06-16,.,No value available
2001-06-17,.,No value available
2001-06-18,2.27926,
2001-06-19,2.28405,
2001-06-20,2.29746,
2001-06-21,2.28699,
2001-06-22,2.29342,
2001-06-23,.,No value available
2001-06-24,.,No value available
2001-06-25,2.27237,
2001-06-26,2.27132,
2001-06-27,2.26842,
2001-06-28,2.29800,
2001-06-29,2.30640,
2001-06-30,.,No value available
2001-07-01,.,No value available
2001-07-02,2.31322,
2001-07-03,2.30179,
2001-07-04,2.31377,
2001-07-05,2.32229,
2001-07-06,2.33281,
2001-07-07,.,No value available
2001-07-08,.,No value available
2001-07-09,2.31213,
2001-07-10,2.28886,
2001-07-11,2.27132,
2001-07-12,2.29074,
2001-07-13,2.29047,
2001-07-14,.,No value available
2001-07-15,.,No value available
2001-07-16,2.27873,
2001-07-17,2.29665,
2001-07-18,2.26632,
2001-07-19,2.24215,
2001-07-20,2.22861,
2001-07-21,.,No value available
2001-07-22,.,No value available
2001-07-23,2.25430,
2001-07-24,2.24602,
2001-07-25,2.22430,
2001-07-26,2.23166,
2001-07-27,2.23065,
2001-07-28,.,No value available
2001-07-29,.,No value available
2001-07-30,2.23498,
2001-07-31,2.23396,
2001-08-01,2.21825,
2001-08-02,2.22557,
2001-08-03,2.22102,
2001-08-04,.,No value available
2001-08-05,.,No value available
2001-08-06,2.22127,
2001-08-07,2.23065,
2001-08-08,2.23192,
2001-08-09,2.20923,
2001-08-10,2.18871,
2001-08-11,.,No value available
2001-08-12,.,No value available
2001-08-13,2.17532,
2001-08-14,2.18090,
2001-08-15,2.14596,
2001-08-16,2.13892,
2001-08-17,2.14033,
2001-08-18,.,No value available
2001-08-19,.,No value available
2001-08-20,2.13775,
2001-08-21,2.14267,
2001-08-22,2.12221,
2001-08-23,2.14643,
2001-08-24,2.14738,
2001-08-25,.,No value available
2001-08-26,.,No value available
2001-08-27,2.15163,
2001-08-28,2.16305,
2001-08-29,2.14408,
2001-08-30,2.15045,
2001-08-31,2.13565,
2001-09-01,.,No value available
2001-09-02,.,No value available
2001-09-03,2.15590,
2001-09-04,2.18041,
2001-09-05,2.19979,
2001-09-06,.,No value available
2001-09-07,.,No value available
2001-09-08,.,No value available
2001-09-09,.,No value available
2001-09-10,2.16185,
2001-09-11,2.18187,
2001-09-12,2.16066,
2001-09-13,2.15875,
2001-09-14,2.12152,
2001-09-15,.,No value available
2001-09-16,.,No value available
2001-09-17,2.11008,
2001-09-18,2.11304,
2001-09-19,2.11258,
2001-09-20,2.11236,
2001-09-21,2.12590,
2001-09-22,.,No value available
2001-09-23,.,No value available
2001-09-24,2.13425,
2001-09-25,2.13146,
2001-09-26,2.12152,
2001-09-27,2.12475,
2001-09-28,2.14197,
2001-09-29,.,No value available
2001-09-30,.,No value available
2001-10-01,2.14338,
2001-10-02,2.12845,
2001-10-03,2.12382,
2001-10-04,2.14526,
2001-10-05,2.13193,
2001-10-06,.,No value available
2001-10-07,.,No value available
2001-10-08,2.12267,
2001-10-09,2.12752,
2001-10-10,2.14079,
2001-10-11,2.15828,
2001-10-12,2.16353,
2001-10-13,.,No value available
2001-10-14,.,No value available
2001-10-15,2.14997,
2001-10-16,2.16066,
2001-10-17,2.16785,
2001-10-18,2.16688,
2001-10-19,2.17097,
2001-10-20,.,No value available
2001-10-21,.,No value available
2001-10-22,2.18066,
2001-10-23,2.20078,
2001-10-24,2.19337,
2001-10-25,2.20028,
2001-10-26,2.19485,
2001-10-27,.,No value available
2001-10-28,.,No value available
2001-10-29,2.17194,
2001-10-30,2.15780,
2001-10-31,2.16305,
2001-11-01,2.14997,
2001-11-02,2.15971,
2001-11-03,.,No value available
2001-11-04,.,No value available
2001-11-05,2.18260,
2001-11-06,2.18260,
2001-11-07,2.16977,
2001-11-08,2.17993,
2001-11-09,2.19018,
2001-11-10,.,No value available
2001-11-11,.,No value available
2001-11-12,2.19288,
2001-11-13,2.21198,
2001-11-14,2.22178,
2001-11-15,2.21624,
2001-11-16,2.21123,
2001-11-17,.,No value available
2001-11-18,.,No value available
2001-11-19,2.22430,
2001-11-20,2.21649,
2001-11-21,2.22481,
2001-11-22,2.22810,
2001-11-23,2.22380,
2001-11-24,.,No value available
2001-11-25,.,No value available
2001-11-26,2.21800,
2001-11-27,2.22557,
2001-11-28,2.21473,
2001-11-29,2.20078,
2001-11-30,2.19806,
2001-12-01,.,No value available
2001-12-02,.,No value available
2001-12-03,2.19141,
2001-12-04,2.19707,
2001-12-05,2.19288,
2001-12-06,2.20028,
2001-12-07,2.19485,
2001-12-08,.,No value available
2001-12-09,.,No value available
2001-12-10,2.20998,
2001-12-11,2.19559,
2001-12-12,2.18822,
2001-12-13,2.17920,
2001-12-14,2.16929,
2001-12-15,.,No value available
2001-12-16,.,No value available
2001-12-17,2.16138,
2001-12-18,2.17025,
2001-12-19,2.17726,
2001-12-20,2.17968,
2001-12-21,2.18700,
2001-12-22,.,No value available
2001-12-23,.,No value available
2001-12-24,.,No value available
2001-12-25,.,No value available
2001-12-26,.,No value available
2001-12-27,2.21674,
2001-12-28,2.21926,
2001-12-29,.,No value available
2001-12-30,.,No value available
2001-12-31,.,No value available
2002-01-01,.,No value available
2002-01-02,2.16401,
2002-01-03,2.16449,
2002-01-04,2.18431,
2002-01-05,.,No value available
2002-01-06,.,No value available
2002-01-07,2.19633,
2002-01-08,2.19534,
2002-01-09,2.19239,
2002-01-10,2.19534,
2002-01-11,2.19288,
2002-01-12,.,No value available
2002-01-13,.,No value available
2002-01-14,2.19092,
2002-01-15,2.19214,
2002-01-16,2.21825,
2002-01-17,2.21775,
2002-01-18,2.22001,
2002-01-19,.,No value available
2002-01-20,.,No value available
2002-01-21,2.21248,
2002-01-22,2.21498,
2002-01-23,2.20848,
2002-01-24,2.23090,
2002-01-25,2.25768,
2002-01-26,.,No value available
2002-01-27,.,No value available
2002-01-28,2.28005,
2002-01-29,2.26789,
2002-01-30,2.26317,
2002-01-31,2.26448,
2002-02-01,2.26579,
2002-02-02,.,No value available
2002-02-03,.,No value available
2002-02-04,2.26264,
2002-02-05,2.25248,
2002-02-06,2.25742,
2002-02-07,2.25742,
2002-02-08,2.23779,
2002-02-09,.,No value available
2002-02-10,.,No value available
2002-02-11,2.22405,
2002-02-12,2.23447,
2002-02-13,2.24010,
2002-02-14,2.24989,
2002-02-15,2.24679,
2002-02-16,.,No value available
2002-02-17,.,No value available
2002-02-18,2.24421,
2002-02-19,2.25015,
2002-02-20,2.23702,
2002-02-21,2.24782,
2002-02-22,2.23600,
2002-02-23,.,No value available
2002-02-24,.,No value available
2002-02-25,2.24190,
2002-02-26,2.25274,
2002-02-27,2.26134,
2002-02-28,2.26081,
2002-03-01,2.25352,
2002-03-02,.,No value available
2002-03-03,.,No value available
2002-03-04,2.26134,
2002-03-05,2.25274,
2002-03-06,2.24498,
2002-03-07,2.23166,
2002-03-08,2.22329,
2002-03-09,.,No value available
2002-03-10,.,No value available
2002-03-11,2.23754,
2002-03-12,2.23959,
2002-03-13,2.23933,
2002-03-14,2.22178,
2002-03-15,2.20923,
2002-03-16,.,No value available
2002-03-17,.,No value available
2002-03-18,2.22456,
2002-03-19,2.21523,
2002-03-20,2.21900,
2002-03-21,2.21825,
2002-03-22,2.22380,
2002-03-23,.,No value available
2002-03-24,.,No value available
2002-03-25,2.23294,
2002-03-26,2.23856,
2002-03-27,2.23626,
2002-03-28,2.24190,
2002-03-29,.,No value available
2002-03-30,.,No value available
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,2.22608,
2002-04-03,2.22178,
2002-04-04,2.21800,
2002-04-05,2.22608,
2002-04-06,.,No value available
2002-04-07,.,No value available
2002-04-08,2.22810,
2002-04-09,2.23192,
2002-04-10,2.22304,
2002-04-11,2.22405,
2002-04-12,2.22178,
2002-04-13,.,No value available
2002-04-14,.,No value available
2002-04-15,2.22203,
2002-04-16,2.22178,
2002-04-17,2.20251,
2002-04-18,2.19880,
2002-04-19,2.20102,
2002-04-20,.,No value available
2002-04-21,.,No value available
2002-04-22,2.20202,
2002-04-23,2.20450,
2002-04-24,2.19954,
2002-04-25,2.18066,
2002-04-26,2.18017,
2002-04-27,.,No value available
2002-04-28,.,No value available
2002-04-29,2.16401,
2002-04-30,2.17121,
2002-05-01,.,No value available
2002-05-02,.,No value available
2002-05-03,.,No value available
2002-05-04,.,No value available
2002-05-05,.,No value available
2002-05-06,.,No value available
2002-05-07,2.14338,
2002-05-08,2.15210,
2002-05-09,2.15851,
2002-05-10,2.14502,
2002-05-11,.,No value available
2002-05-12,.,No value available
2002-05-13,2.14502,
2002-05-14,2.15828,
2002-05-15,2.16592,
2002-05-16,2.14361,
2002-05-17,2.13705,
2002-05-18,.,No value available
2002-05-19,.,No value available
2002-05-20,2.12544,
2002-05-21,2.12290,
2002-05-22,2.11213,
2002-05-23,2.12290,
2002-05-24,.,No value available
2002-05-25,.,No value available
2002-05-26,.,No value available
2002-05-27,2.12822,
