"",BBEX3.M.TTD.USD.CA.AC.A01,BBEX3.M.TTD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Trinidad and Tobago / USD 1 = TTD ... (middle),
unit,TTD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:38,
1993-04,5.748100,comment
1993-05,5.683105,
1993-06,5.700410,
1993-07,5.624950,
1993-08,5.615025,
1993-09,5.752015,
1993-10,5.707730,
1993-11,5.752355,
1993-12,5.834000,
1994-01,5.807955,
1994-02,5.812905,
1994-03,5.821745,
1994-04,5.924230,
1994-05,5.910935,
1994-06,5.871005,
1994-07,5.884370,
1994-08,5.871355,
1994-09,5.890850,
1994-10,5.904900,
1994-11,5.881250,
1994-12,5.874950,
1995-01,5.901850,
1995-02,5.927100,
1995-03,5.922000,
1995-04,5.903600,
1995-05,5.890550,
1995-06,5.865800,
1995-07,5.871200,
1995-08,5.900250,
1995-09,5.895300,
1995-10,5.897150,
1995-11,5.925400,
1995-12,5.936800,
1996-01,5.944950,
1996-02,5.952800,
1996-03,5.952000,
1996-04,5.931300,
1996-05,5.915600,
1996-06,5.935350,
1996-07,5.943950,
1996-08,5.948200,
1996-09,6.022650,
1996-10,6.030600,
1996-11,6.174700,
1996-12,6.203150,
1997-01,6.145950,
1997-02,6.206150,
1997-03,6.246050,
1997-04,6.244450,
1997-05,6.267950,
1997-06,6.271400,
1997-07,6.277600,
1997-08,6.274100,
1997-09,6.283450,
1997-10,6.280500,
1997-11,6.278500,
1997-12,6.290750,
1998-01,6.296050,
1998-02,6.282350,
1998-03,6.288150,
1998-04,6.282350,
1998-05,6.285600,
1998-06,6.286250,
1998-07,6.266350,
1998-08,6.277650,
1998-09,6.283500,
1998-10,6.291250,
1998-11,6.272450,
1998-12,6.272700,
1999-01,6.274000,
1999-02,6.278500,
1999-03,6.281300,
1999-04,6.280700,
1999-05,6.277450,
1999-06,6.272950,
1999-07,6.281200,
1999-08,6.279950,
1999-09,6.274850,
1999-10,6.269100,
1999-11,6.271600,
1999-12,6.271750,
2000-01,6.278200,
2000-02,6.268200,
2000-03,6.272650,
2000-04,6.276450,
2000-05,6.267600,
2000-06,6.278200,
2000-07,6.273050,
2000-08,6.276000,
2000-09,6.283100,
2000-10,6.276000,
2000-11,6.279000,
2000-12,6.280600,
2001-01,6.270950,
2001-02,6.268800,
2001-03,6.270350,
2001-04,6.229400,
2001-05,6.243800,
2001-06,6.176950,
2001-07,6.128800,
2001-08,6.114800,
2001-09,6.125200,
2001-10,6.131000,
2001-11,6.222000,
2001-12,6.243700,
2002-01,6.239600,
2002-02,6.251000,
2002-03,6.238950,
2002-04,6.211750,
2002-05,6.164350,
2002-06,6.128900,
2002-07,6.115100,
2002-08,6.176250,
2002-09,6.244250,
2002-10,6.244000,
2002-11,6.276600,
2002-12,6.285750,
2003-01,6.266900,comment
2003-02,6.260750,
2003-03,6.261050,comment
2003-04,6.257400,
2003-05,6.254050,
2003-06,6.267900,
2003-07,6.261850,
2003-08,6.264650,
2003-09,6.274100,comment
2003-10,6.277700,
2003-11,6.273600,
2003-12,6.272900,
2004-01,6.267750,
2004-02,6.263200,
2004-03,6.290950,
2004-04,6.274050,
2004-05,6.273750,
2004-06,6.276700,
2004-07,6.273650,
2004-08,6.260550,
2004-09,6.278750,
2004-10,6.276400,
2004-11,6.279100,
2004-12,6.273550,
2005-01,6.268500,
2005-02,6.273800,
2005-03,6.278000,
2005-04,6.259950,
2005-05,6.248950,
2005-06,6.285650,
2005-07,6.267050,
2005-08,6.263650,
2005-09,6.275500,
2005-10,6.238700,
2005-11,6.286850,
2005-12,6.298500,
2006-01,6.280150,
2006-02,6.271850,
2006-03,6.326600,
2006-04,6.312000,
2006-05,6.282400,
2006-06,6.329700,
2006-07,6.288950,
2006-08,6.252500,
2006-09,6.279250,
2006-10,6.264100,
2006-11,6.308600,
2006-12,6.294500,
2007-01,6.305600,
2007-02,6.303400,
2007-03,6.333100,
2007-04,6.302100,
2007-05,6.273700,
2007-06,6.322000,
2007-07,6.326600,
2007-08,6.317300,
2007-09,6.316650,
2007-10,6.301950,
2007-11,6.300300,
2007-12,6.311250,
2008-01,6.309150,
2008-02,6.308900,
2008-03,6.323100,
2008-04,6.295300,
2008-05,6.196650,
2008-06,6.194550,
2008-07,6.221750,
2008-08,6.228450,
2008-09,6.252550,
2008-10,6.254400,
2008-11,6.246800,
2008-12,6.272850,
2009-01,6.266300,
2009-02,6.246300,
2009-03,6.303700,
2009-04,6.293750,
2009-05,6.290200,
2009-06,6.294700,
2009-07,6.296300,
2009-08,6.314750,
2009-09,6.342400,
2009-10,6.332450,
2009-11,6.344150,
2009-12,6.357400,
2010-01,6.336800,
2010-02,6.343850,
2010-03,6.365600,
2010-04,6.340800,
2010-05,6.356800,
2010-06,6.362800,
2010-07,6.323650,
2010-08,6.335700,
2010-09,6.318800,
2010-10,6.324100,
2010-11,6.341750,
2010-12,6.376550,
2011-01,6.393200,
2011-02,6.392100,
2011-03,6.404350,
2011-04,6.419450,
2011-05,6.421050,
2011-06,6.424000,
2011-07,6.386550,
2011-08,6.393850,
2011-09,6.416100,
2011-10,6.392750,
2011-11,6.400150,
2011-12,6.409300,
2012-01,6.381400,
2012-02,6.391250,
2012-03,6.416850,
2012-04,6.415450,
2012-05,6.395350,
2012-06,6.421350,
2012-07,6.381600,
2012-08,6.389300,
2012-09,6.418250,
2012-10,6.408350,
2012-11,6.406550,
2012-12,6.381450,
2013-01,6.396200,
2013-02,6.382200,
2013-03,6.409450,
2013-04,6.412300,
2013-05,6.412350,
2013-06,6.424000,
2013-07,6.407250,
2013-08,6.421050,
2013-09,6.419500,
2013-10,6.429950,
2013-11,6.379800,
2013-12,6.438500,
2014-01,6.409350,
2014-02,6.425150,
2014-03,6.436150,
2014-04,6.453000,
2014-05,6.431500,
2014-06,6.381350,
2014-07,6.359950,
2014-08,6.335900,
2014-09,6.358300,
2014-10,6.332150,
2014-11,6.351100,
2014-12,6.358500,
2015-01,6.334900,
"","General: On 13 April 1993, the Trinidad and Tobago dollar ceased to be pegged to the US dollar.",
"","Source: Calculated on the basis of the buying and selling rates of the Central Bank of Trinidad and Tobago, Port-of-Spain.",
"","Comment on 1993-04: On 13 April 1993, the Trinidad and Tobago dollar ceased to be pegged to the US dollar and a floating exchange rate was adopted.  We recorded the following exchange rates (buying/selling).  7 April 1993: USD 1 = TTD 4.24734 / 4.28719  13 April 1993: USD 1 = TTD 5.60000 / 5.76800  Calculated devaluation: 24.9% (middle rate).",
"",Comment on 2003-01: Exchange rate as of 27 January 2003.,
