"",BBSF2.M.1.S.00000.GEF01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:08,
2009-09,427,
2009-10,157,
2009-11,298,
2009-12,155,
2010-01,198,
2010-02,139,
2010-03,286,
2010-04,283,
2010-05,224,
2010-06,311,
2010-07,351,
2010-08,220,
2010-09,205,
2010-10,256,
2010-11,1079,
2010-12,214,
2011-01,229,
2011-02,324,
2011-03,260,
2011-04,320,
2011-05,134,
2011-06,188,
2011-07,263,
2011-08,313,
2011-09,298,
2011-10,307,
2011-11,367,
2011-12,461,
2012-01,260,
2012-02,331,
2012-03,322,
2012-04,548,
2012-05,613,
2012-06,2800,
2012-07,605,
2012-08,626,
2012-09,627,
2012-10,539,
2012-11,842,
2012-12,2449,
2013-01,2221,
2013-02,2526,
2013-03,2509,
2013-04,2540,
2013-05,2458,
2013-06,2743,
2013-07,2360,
2013-08,2213,
2013-09,2255,
2013-10,1894,
2013-11,542,
2013-12,574,
2014-01,1032,
2014-02,656,
2014-03,420,
2014-04,608,
2014-05,345,
2014-06,501,
2014-07,525,
2014-08,442,
2014-09,468,
2014-10,466,
2014-11,603,
