"",BBK01.OEBL03N,BBK01.OEBL03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:15,
2002-01,13.414,
2002-04,13.048,
2002-07,13.024,
2002-10,12.881,
2003-01,12.521,
2003-04,11.963,
2003-07,11.171,
2003-10,10.825,
2004-01,10.245,
2004-04,9.405,
2004-07,9.392,
2004-10,5.546,
2005-01,6.287,
2005-04,6.139,
2005-07,6.060,
2005-10,5.972,
2006-01,6.037,
2006-04,6.125,
2006-07,6.715,
2006-10,7.521,
2007-01,7.894,
2007-04,8.324,
2007-07,9.585,
2007-10,11.194,
2008-01,11.967,
2008-04,12.956,
2008-07,14.914,
2008-10,15.945,
2009-01,13.677,
2009-04,12.319,
2009-07,9.713,
2009-10,7.944,
2010-01,7.195,
2010-04,7.018,
2010-07,6.296,
2010-10,6.192,
2011-01,6.592,
2011-04,6.980,
2011-07,6.843,
2011-10,7.284,
2012-01,7.794,
2012-04,7.657,
2012-07,7.383,
2012-10,6.537,
2013-01,6.251,
2013-04,6.395,
2013-07,6.490,
2013-10,7.073,
2014-01,7.562,
2014-04,8.158,
2014-07,8.139,
