"",BBK01.OEAD05P,BBK01.OEAD05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:57,
2002-01,0.383,
2002-04,0.406,
2002-07,0.396,
2002-10,0.327,
2003-01,0.435,
2003-04,0.423,
2003-07,0.445,
2003-10,0.423,
2004-01,0.410,
2004-04,0.401,
2004-07,0.377,
2004-10,0.343,
2005-01,0.348,
2005-04,0.377,
2005-07,0.356,
2005-10,0.356,
2006-01,0.346,
2006-04,0.369,
2006-07,0.342,
2006-10,0.330,
2007-01,0.320,
2007-04,0.315,
2007-07,0.316,
2007-10,0.311,
2008-01,0.298,
2008-04,0.327,
2008-07,0.333,
2008-10,0.367,
2009-01,0.358,
2009-04,0.368,
2009-07,0.373,
2009-10,0.390,
2010-01,0.450,
2010-04,0.523,
2010-07,0.505,
2010-10,0.520,
2011-01,0.535,
2011-04,0.533,
2011-07,0.540,
2011-10,0.544,
2012-01,0.535,
2012-04,0.507,
2012-07,0.500,
2012-10,0.495,
2013-01,0.502,
2013-04,0.475,
2013-07,0.501,
2013-10,0.468,
2014-01,0.470,
2014-04,0.448,
2014-07,0.454,
