"",BBK01.OEXK03N,BBK01.OEXK03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:13,
2002-01,0.853,
2002-04,0.827,
2002-07,0.881,
2002-10,0.900,
2003-01,0.870,
2003-04,0.831,
2003-07,0.806,
2003-10,0.799,
2004-01,0.719,
2004-04,0.718,
2004-07,0.852,
2004-10,0.651,
2005-01,0.675,
2005-04,0.647,
2005-07,0.689,
2005-10,0.710,
2006-01,0.842,
2006-04,0.983,
2006-07,1.038,
2006-10,1.087,
2007-01,1.067,
2007-04,1.069,
2007-07,1.261,
2007-10,1.436,
2008-01,1.492,
2008-04,1.607,
2008-07,1.699,
2008-10,1.534,
2009-01,1.198,
2009-04,0.948,
2009-07,0.779,
2009-10,0.768,
2010-01,0.731,
2010-04,0.677,
2010-07,0.635,
2010-10,0.639,
2011-01,0.740,
2011-04,0.770,
2011-07,0.986,
2011-10,1.025,
2012-01,0.781,
2012-04,0.756,
2012-07,0.768,
2012-10,0.765,
2013-01,0.779,
2013-04,0.781,
2013-07,0.786,
2013-10,0.864,
2014-01,0.986,
2014-04,1.016,
2014-07,1.072,
