"",BBK01.OUZ096,BBK01.OUZ096_FLAGS
"","Bill stock, total, Regional banks and other commercial banks",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:56:14,
1999-01,1.320,
1999-02,1.347,
1999-03,1.485,
1999-04,1.471,
1999-05,1.481,
1999-06,1.492,
1999-07,1.425,
1999-08,1.422,
1999-09,1.449,
1999-10,1.426,
1999-11,1.434,
1999-12,1.319,
2000-01,1.298,
2000-02,1.275,
2000-03,1.279,
2000-04,1.244,
2000-05,1.283,
2000-06,1.320,
2000-07,1.342,
2000-08,1.386,
2000-09,1.318,
2000-10,1.258,
2000-11,1.299,
2000-12,1.251,
2001-01,1.192,
2001-02,1.138,
2001-03,1.152,
2001-04,1.170,
2001-05,1.144,
2001-06,1.166,
2001-07,1.170,
2001-08,1.151,
2001-09,1.147,
2001-10,1.139,
2001-11,1.142,
2001-12,1.153,
2002-01,1.042,
2002-02,0.968,
2002-03,0.965,
2002-04,0.945,
2002-05,0.909,
2002-06,0.877,
2002-07,0.905,
2002-08,0.882,
2002-09,0.860,
2002-10,0.851,
2002-11,0.858,
2002-12,0.911,
2003-01,0.866,
2003-02,0.885,
2003-03,0.898,
2003-04,0.916,
2003-05,0.886,
2003-06,0.900,
2003-07,0.922,
2003-08,0.931,
2003-09,0.910,
2003-10,0.873,
2003-11,0.856,
2003-12,0.871,
2004-01,0.827,
2004-02,0.755,
2004-03,0.669,
2004-04,0.684,
2004-05,0.686,
2004-06,0.665,
2004-07,0.706,
2004-08,0.706,
2004-09,0.685,
2004-10,0.665,
2004-11,0.620,
2004-12,0.451,
2005-01,0.421,
2005-02,0.395,
2005-03,0.417,
2005-04,0.431,
2005-05,0.418,
2005-06,0.383,
2005-07,0.423,
2005-08,0.323,
2005-09,0.311,
2005-10,0.312,
2005-11,0.272,
2005-12,0.270,
2006-01,0.252,
2006-02,0.227,
2006-03,0.233,
2006-04,0.225,
2006-05,0.217,
2006-06,0.207,
2006-07,0.177,
2006-08,0.179,
2006-09,0.227,
2006-10,0.253,
2006-11,0.219,
2006-12,0.260,
2007-01,0.266,
2007-02,0.298,
2007-03,0.295,
2007-04,0.291,
2007-05,0.287,
2007-06,0.291,
2007-07,0.263,
2007-08,0.265,
2007-09,0.237,
2007-10,0.241,
2007-11,0.181,
2007-12,0.150,
2008-01,0.144,
2008-02,0.144,
2008-03,0.145,
2008-04,0.145,
2008-05,0.163,
2008-06,0.162,
2008-07,0.160,
2008-08,0.168,
2008-09,0.167,
2008-10,0.167,
2008-11,0.198,
2008-12,0.185,
2009-01,0.176,
2009-02,0.168,
2009-03,0.169,
2009-04,0.133,
2009-05,0.130,
2009-06,0.136,
2009-07,0.150,
2009-08,0.144,
2009-09,0.145,
2009-10,0.152,
2009-11,0.151,
2009-12,0.158,
2010-01,0.153,
2010-02,0.148,
2010-03,0.154,
2010-04,0.173,
2010-05,0.179,
2010-06,0.162,
2010-07,0.174,
2010-08,0.165,
2010-09,0.159,
2010-10,0.144,
2010-11,0.141,
2010-12,0.132,
2011-01,0.136,
2011-02,0.136,
2011-03,0.132,
2011-04,0.122,
2011-05,0.145,
2011-06,0.162,
2011-07,0.177,
2011-08,0.165,
2011-09,0.164,
2011-10,0.164,
2011-11,0.164,
2011-12,0.164,
2012-01,0.161,
2012-02,0.183,
2012-03,0.186,
2012-04,0.175,
2012-05,0.155,
2012-06,0.144,
2012-07,0.148,
2012-08,0.137,
2012-09,0.135,
2012-10,0.145,
2012-11,0.140,
2012-12,0.132,
2013-01,0.134,
2013-02,0.121,
2013-03,0.111,
2013-04,0.118,
2013-05,0.129,
2013-06,0.127,
2013-07,0.136,
2013-08,0.130,
2013-09,0.111,
2013-10,0.117,
2013-11,0.116,
2013-12,0.142,
2014-01,0.156,
2014-02,0.185,
2014-03,0.235,
2014-04,0.249,
2014-05,0.251,
2014-06,0.256,
2014-07,0.251,
2014-08,0.268,
2014-09,0.271,
2014-10,0.270,
2014-11,0.262,
