"",BBK01.OEAC05M,BBK01.OEAC05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:59,
2002-01,16.310,
2002-04,16.122,
2002-07,15.775,
2002-10,15.821,
2003-01,15.638,
2003-04,15.686,
2003-07,15.411,
2003-10,15.239,
2004-01,15.324,
2004-04,15.261,
2004-07,15.044,
2004-10,15.059,
2005-01,15.126,
2005-04,14.891,
2005-07,14.844,
2005-10,14.638,
2006-01,14.768,
2006-04,14.655,
2006-07,14.749,
2006-10,14.670,
2007-01,14.949,
2007-04,15.192,
2007-07,15.108,
2007-10,15.564,
2008-01,15.401,
2008-04,15.566,
2008-07,15.579,
2008-10,15.808,
2009-01,15.511,
2009-04,15.195,
2009-07,14.575,
2009-10,14.219,
2010-01,13.365,
2010-04,12.865,
2010-07,13.052,
2010-10,13.902,
2011-01,13.968,
2011-04,14.042,
2011-07,14.208,
2011-10,14.320,
2012-01,14.633,
2012-04,15.004,
2012-07,15.167,
2012-10,15.114,
2013-01,14.905,
2013-04,14.339,
2013-07,14.368,
2013-10,14.635,
2014-01,14.435,
2014-04,14.587,
2014-07,14.623,
