"",BBK01.OEAC60S,BBK01.OEAC60S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:13,
2002-01,0.680,
2002-04,0.682,
2002-07,0.679,
2002-10,0.669,
2003-01,0.676,
2003-04,0.665,
2003-07,0.657,
2003-10,0.652,
2004-01,0.649,
2004-04,0.634,
2004-07,0.622,
2004-10,0.615,
2005-01,0.597,
2005-04,0.585,
2005-07,0.583,
2005-10,0.566,
2006-01,0.555,
2006-04,0.551,
2006-07,0.533,
2006-10,0.535,
2007-01,0.537,
2007-04,0.530,
2007-07,0.540,
2007-10,0.549,
2008-01,0.535,
2008-04,0.539,
2008-07,0.543,
2008-10,0.550,
2009-01,0.552,
2009-04,0.554,
2009-07,0.555,
2009-10,0.553,
2010-01,0.561,
2010-04,0.572,
2010-07,0.572,
2010-10,0.563,
2011-01,0.558,
2011-04,0.557,
2011-07,0.558,
2011-10,0.562,
2012-01,0.557,
2012-04,0.559,
2012-07,0.559,
2012-10,0.560,
2013-01,0.568,
2013-04,0.573,
2013-07,0.578,
2013-10,0.574,
2014-01,0.572,
2014-04,0.570,
2014-07,0.569,
