"",BBK01.TUB631,BBK01.TUB631_FLAGS
"",Liabilities to other euro area residents denominated in euro / other liabilities / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:43:12,
2002-01,873,
2002-02,561,
2002-03,546,
2002-04,472,
2002-05,554,
2002-06,499,
2002-07,481,
2002-08,473,
2002-09,512,
2002-10,511,
2002-11,719,
2002-12,598,
2003-01,498,
2003-02,467,
2003-03,440,
2003-04,440,
2003-05,416,
2003-06,420,
2003-07,472,
2003-08,402,
2003-09,401,
2003-10,415,
2003-11,525,
2003-12,500,
2004-01,405,
2004-02,421,
2004-03,378,
2004-04,401,
2004-05,406,
2004-06,392,
2004-07,394,
2004-08,420,
2004-09,404,
2004-10,431,
2004-11,433,
2004-12,358,
2005-01,357,
2005-02,370,
2005-03,335,
2005-04,382,
2005-05,358,
2005-06,384,
2005-07,383,
2005-08,386,
2005-09,369,
2005-10,485,
2005-11,390,
2005-12,376,
2006-01,363,
2006-02,555,
2006-03,375,
2006-04,383,
2006-05,420,
2006-06,424,
2006-07,440,
2006-08,367,
2006-09,407,
2006-10,457,
2006-11,358,
2006-12,369,
2007-01,370,
2007-02,378,
2007-03,338,
2007-04,330,
2007-05,361,
2007-06,359,
2007-07,302,
2007-08,301,
2007-09,352,
2007-10,342,
2007-11,375,
2007-12,405,
2008-01,760,
2008-02,501,
2008-03,541,
2008-04,666,
2008-05,441,
2008-06,433,
2008-07,382,
2008-08,340,
2008-09,588,
2008-10,7676,
2008-11,2804,
2008-12,915,
2009-01,455,
2009-02,602,
2009-03,317,
2009-04,637,
2009-05,527,
2009-06,364,
2009-07,399,
2009-08,424,
2009-09,388,
2009-10,415,
2009-11,374,
2009-12,365,
2010-01,368,
2010-02,386,
2010-03,385,
2010-04,472,
2010-05,565,
2010-06,436,
2010-07,493,
2010-08,439,
2010-09,415,
2010-10,726,
2010-11,629,
2010-12,756,
2011-01,1839,
2011-02,460,
2011-03,487,
2011-04,438,
2011-05,426,
2011-06,869,
2011-07,446,
2011-08,448,
2011-09,611,
2011-10,709,
2011-11,747,
2011-12,4756,
2012-01,659,
2012-02,2014,
2012-03,2642,
2012-04,1256,
2012-05,1965,
2012-06,1957,
2012-07,12194,
2012-08,12072,
2012-09,10240,
2012-10,45662,
2012-11,35851,
2012-12,28059,
2013-01,23623,
2013-02,21806,
2013-03,10381,
2013-04,27710,
2013-05,20074,
2013-06,7565,
2013-07,11987,
2013-08,10049,
2013-09,11604,
2013-10,31549,
2013-11,18120,
2013-12,8453,
2014-01,8465,
2014-02,10689,
2014-03,7280,
2014-04,25198,
2014-05,23864,
2014-06,17747,
2014-07,13429,
2014-08,12069,
2014-09,13948,
2014-10,21046,
2014-11,23928,
2014-12,7930,
