"",BBK01.OEAF25G,BBK01.OEAF25G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:49,
2002-01,5.072,
2002-04,6.051,
2002-07,6.123,
2002-10,6.151,
2003-01,6.052,
2003-04,5.901,
2003-07,5.873,
2003-10,5.846,
2004-01,5.761,
2004-04,5.783,
2004-07,5.863,
2004-10,5.716,
2005-01,5.780,
2005-04,5.874,
2005-07,5.999,
2005-10,5.951,
2006-01,5.863,
2006-04,5.911,
2006-07,5.934,
2006-10,5.283,
2007-01,5.237,
2007-04,5.294,
2007-07,5.382,
2007-10,5.183,
2008-01,5.215,
2008-04,5.242,
2008-07,5.174,
2008-10,5.252,
2009-01,5.422,
2009-04,5.448,
2009-07,5.474,
2009-10,5.452,
2010-01,5.258,
2010-04,5.125,
2010-07,5.055,
2010-10,4.906,
2011-01,4.775,
2011-04,4.838,
2011-07,4.946,
2011-10,4.881,
2012-01,4.840,
2012-04,4.817,
2012-07,4.803,
2012-10,4.784,
2013-01,4.691,
2013-04,4.693,
2013-07,4.852,
2013-10,4.841,
2014-01,4.871,
2014-04,4.753,
2014-07,4.801,
