"",BBK01.OEYI01N,BBK01.OEYI01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:36,
2002-01,66.286,
2002-04,67.050,
2002-07,66.869,
2002-10,67.084,
2003-01,70.549,
2003-04,71.753,
2003-07,72.849,
2003-10,67.887,
2004-01,68.186,
2004-04,70.983,
2004-07,71.735,
2004-10,71.545,
2005-01,73.394,
2005-04,73.290,
2005-07,76.476,
2005-10,83.520,
2006-01,82.624,
2006-04,92.030,
2006-07,96.839,
2006-10,104.812,
2007-01,103.066,
2007-04,103.736,
2007-07,106.613,
2007-10,115.483,
2008-01,117.918,
2008-04,120.406,
2008-07,117.031,
2008-10,119.305,
2009-01,121.793,
2009-04,116.985,
2009-07,116.424,
2009-10,109.807,
2010-01,124.747,
2010-04,133.672,
2010-07,124.227,
2010-10,116.157,
2011-01,113.525,
2011-04,113.519,
2011-07,115.189,
2011-10,113.325,
2012-01,126.167,
2012-04,131.379,
2012-07,124.175,
2012-10,87.042,
2013-01,86.375,
2013-04,86.776,
2013-07,77.110,
2013-10,76.100,
2014-01,74.687,
2014-04,71.651,
2014-07,70.229,
