"",BBFB1.Q.N.DE.1A.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:58,
1991-01,10.739,
1991-04,-50.876,
1991-07,-53.971,
1991-10,-87.397,
1992-01,12.275,
1992-04,-121.284,
1992-07,-3.320,
1992-10,-19.272,
1993-01,16.492,
1993-04,-25.599,
1993-07,-109.880,
1993-10,-53.648,
1994-01,-14.437,
1994-04,-48.647,
1994-07,-67.880,
1994-10,-26.056,
1995-01,-4.093,
1995-04,-8.108,
1995-07,-14.790,
1995-10,-61.410,
1996-01,3.822,
1996-04,39.467,
1996-07,1.586,
1996-10,12.429,
1997-01,31.339,
1997-04,34.209,
1997-07,27.581,
1997-10,35.672,
1998-01,37.158,
1998-04,32.894,
1998-07,54.024,
1998-10,9.058,
1999-01,48.570,
1999-04,22.523,
1999-07,33.278,
1999-10,55.871,
2000-01,37.218,
2000-04,25.653,
2000-07,36.489,
2000-10,76.887,
2001-01,45.260,
2001-04,74.872,
2001-07,67.400,
2001-10,55.515,
2002-01,75.367,
2002-04,63.686,
2002-07,43.752,
2002-10,73.457,
2003-01,-16.713,
2003-04,-5.012,
2003-07,89.196,
2003-10,136.610,
2004-01,90.399,
2004-04,133.076,
2004-07,128.540,
2004-10,252.563,
2005-01,84.903,
2005-04,94.047,
2005-07,113.821,
2005-10,140.472,
2006-01,82.693,
2006-04,50.590,
2006-07,99.583,
2006-10,95.134,
2007-01,103.627,
2007-04,106.972,
2007-07,15.647,
2007-10,77.039,
2008-01,37.835,
2008-04,22.452,
2008-07,101.694,
2008-10,12.186,
2009-01,44.402,
2009-04,109.112,
2009-07,54.208,
2009-10,97.268,
2010-01,36.869,
2010-04,71.705,
2010-07,-69.187,
2010-10,184.395,
2011-01,-0.141,
2011-04,81.523,
2011-07,51.668,
2011-10,28.335,
2012-01,51.026,
2012-04,94.685,
2012-07,52.030,
2012-10,-2.427,
2013-01,39.503,
2013-04,64.396,
2013-07,-1.859,
2013-10,132.058,
2014-01,79.717,Provisional value
2014-04,182.580,Provisional value
2014-07,161.892,Provisional value
