"",BBK01.OEAA22K,BBK01.OEAA22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:01,
2002-01,7.480,
2002-04,7.527,
2002-07,7.639,
2002-10,8.090,
2003-01,8.537,
2003-04,9.181,
2003-07,10.037,
2003-10,9.870,
2004-01,10.878,
2004-04,11.610,
2004-07,12.035,
2004-10,10.076,
2005-01,9.885,
2005-04,9.315,
2005-07,9.877,
2005-10,9.700,
2006-01,9.100,
2006-04,8.613,
2006-07,8.581,
2006-10,8.442,
2007-01,7.299,
2007-04,8.028,
2007-07,8.653,
2007-10,8.929,
2008-01,9.637,
2008-04,10.474,
2008-07,11.764,
2008-10,12.196,
2009-01,12.690,
2009-04,13.342,
2009-07,12.854,
2009-10,11.808,
2010-01,11.821,
2010-04,11.472,
2010-07,11.591,
2010-10,11.464,
2011-01,10.773,
2011-04,10.534,
2011-07,11.893,
2011-10,11.641,
2012-01,11.098,
2012-04,10.880,
2012-07,11.271,
2012-10,10.624,
2013-01,10.990,
2013-04,11.232,
2013-07,10.629,
2013-10,10.612,
2014-01,10.771,
2014-04,11.246,
2014-07,11.404,
