"",BBK01.OECB02U,BBK01.OECB02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:10,
2002-01,0.676,
2002-04,0.649,
2002-07,0.633,
2002-10,0.652,
2003-01,0.586,
2003-04,0.565,
2003-07,0.559,
2003-10,0.613,
2004-01,0.572,
2004-04,0.469,
2004-07,0.460,
2004-10,0.469,
2005-01,0.519,
2005-04,0.527,
2005-07,0.563,
2005-10,0.534,
2006-01,0.524,
2006-04,0.507,
2006-07,0.514,
2006-10,0.521,
2007-01,0.532,
2007-04,0.506,
2007-07,0.511,
2007-10,0.519,
2008-01,0.562,
2008-04,0.550,
2008-07,0.540,
2008-10,0.530,
2009-01,0.531,
2009-04,0.482,
2009-07,0.494,
2009-10,0.401,
2010-01,0.410,
2010-04,0.408,
2010-07,0.407,
2010-10,0.354,
2011-01,0.413,
2011-04,0.426,
2011-07,0.423,
2011-10,0.429,
2012-01,0.474,
2012-04,0.425,
2012-07,0.419,
2012-10,0.391,
2013-01,0.436,
2013-04,0.417,
2013-07,0.428,
2013-10,0.416,
2014-01,0.445,
2014-04,0.474,
2014-07,0.436,
