"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.CY.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.CY.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Cyprus,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:30,
2009-09,135,
2009-10,130,
2009-11,131,
2009-12,129,
2010-01,180,
2010-02,216,
2010-03,213,
2010-04,211,
2010-05,220,
2010-06,225,
2010-07,243,
2010-08,248,
2010-09,239,
2010-10,352,
2010-11,330,
2010-12,327,
2011-01,311,
2011-02,321,
2011-03,311,
2011-04,307,
2011-05,294,
2011-06,273,
2011-07,211,
2011-08,188,
2011-09,205,
2011-10,210,
2011-11,198,
2011-12,180,
2012-01,180,
2012-02,174,
2012-03,154,
2012-04,151,
2012-05,135,
2012-06,129,
2012-07,116,
2012-08,102,
2012-09,102,
2012-10,103,
2012-11,102,
2012-12,106,
2013-01,94,
2013-02,95,
2013-03,57,
2013-04,63,
2013-05,66,
2013-06,53,
2013-07,53,
2013-08,58,
2013-09,60,
2013-10,40,
2013-11,35,
2013-12,34,
2014-01,32,
2014-02,33,
2014-03,32,
2014-04,34,
2014-05,34,
2014-06,34,
2014-07,34,
2014-08,33,
2014-09,32,
2014-10,31,
2014-11,32,
