"",BBFB1.Q.N.DE.U3.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:02,
1991-01,5007.974,
1991-04,5384.279,
1991-07,5141.496,
1991-10,5148.076,
1992-01,4891.428,
1992-04,4997.436,
1992-07,5375.140,
1992-10,4915.880,
1993-01,4941.554,
1993-04,5005.814,
1993-07,4544.625,
1993-10,5335.968,
1994-01,3976.131,
1994-04,3997.229,
1994-07,4173.011,
1994-10,6058.128,
1995-01,4371.769,
1995-04,4525.924,
1995-07,4668.862,
1995-10,7159.754,
1996-01,3909.943,
1996-04,3742.633,
1996-07,3815.731,
1996-10,6948.222,
1997-01,4008.796,
1997-04,4590.862,
1997-07,4283.022,
1997-10,7296.414,
1998-01,4076.517,
1998-04,4027.094,
1998-07,3657.462,
1998-10,5678.452,
1999-01,3955.734,
1999-04,4507.109,
1999-07,4257.278,
1999-10,7959.110,
2000-01,4558.874,
2000-04,5070.498,
2000-07,4768.738,
2000-10,8068.019,
2001-01,5638.997,
2001-04,4687.501,
2001-07,4469.657,
2001-10,8237.651,
2002-01,5632.418,
2002-04,5134.508,
2002-07,5299.719,
2002-10,8456.913,
2003-01,6066.143,
2003-04,5926.572,
2003-07,6137.944,
2003-10,10257.774,
2004-01,6760.108,
2004-04,6321.600,
2004-07,6806.523,
2004-10,10974.209,
2005-01,8520.875,
2005-04,8783.848,
2005-07,9278.126,
2005-10,13229.583,
2006-01,9432.437,
2006-04,10705.587,
2006-07,11751.787,
2006-10,17943.631,
2007-01,13903.952,
2007-04,13533.642,
2007-07,12724.476,
2007-10,17125.925,
2008-01,9698.322,
2008-04,9095.045,
2008-07,8244.800,
2008-10,12508.505,
2009-01,7084.068,
2009-04,6534.851,
2009-07,6617.296,
2009-10,11900.166,
2010-01,8526.475,
2010-04,9208.664,
2010-07,9255.559,
2010-10,15874.063,
2011-01,9190.208,
2011-04,9384.985,
2011-07,9459.419,
2011-10,14463.407,
2012-01,9103.650,
2012-04,9094.610,
2012-07,8871.479,
2012-10,13842.074,
2013-01,8163.299,
2013-04,8214.284,
2013-07,7862.988,
2013-10,12957.170,
2014-01,7820.758,Provisional value
2014-04,8232.020,Provisional value
2014-07,7681.138,Provisional value
