"",BBK01.OEBB12V,BBK01.OEBB12V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:13,
2002-01,4.729,
2002-04,4.763,
2002-07,4.899,
2002-10,4.757,
2003-01,4.649,
2003-04,4.634,
2003-07,4.588,
2003-10,4.585,
2004-01,4.576,
2004-04,4.554,
2004-07,4.593,
2004-10,4.356,
2005-01,4.312,
2005-04,4.292,
2005-07,4.325,
2005-10,4.277,
2006-01,4.243,
2006-04,4.531,
2006-07,4.398,
2006-10,4.435,
2007-01,4.401,
2007-04,4.324,
2007-07,4.370,
2007-10,4.710,
2008-01,4.717,
2008-04,4.743,
2008-07,4.861,
2008-10,4.877,
2009-01,4.919,
2009-04,6.432,
2009-07,6.375,
2009-10,6.605,
2010-01,6.493,
2010-04,6.455,
2010-07,5.421,
2010-10,5.508,
2011-01,5.958,
2011-04,5.999,
2011-07,6.043,
2011-10,6.043,
2012-01,6.096,
2012-04,6.233,
2012-07,6.292,
2012-10,6.371,
2013-01,6.447,
2013-04,6.392,
2013-07,6.318,
2013-10,6.418,
2014-01,6.564,
2014-04,6.843,
2014-07,6.892,
