"",BBFN1.M.DE.N.1.A.ID.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ID.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Indonesia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:01,
1994-07,0.344,
1994-08,0.363,
1994-09,0.374,
1994-10,0.412,
1994-11,0.434,
1994-12,0.429,
1995-01,0.517,
1995-02,0.509,
1995-03,0.490,
1995-04,0.401,
1995-05,0.423,
1995-06,0.417,
1995-07,0.409,
1995-08,0.418,
1995-09,0.458,
1995-10,0.447,
1995-11,0.461,
1995-12,0.470,
1996-01,0.435,
1996-02,0.437,
1996-03,0.455,
1996-04,0.488,
1996-05,0.477,
1996-06,0.508,
1996-07,0.506,
1996-08,0.520,
1996-09,0.499,
1996-10,0.512,
1996-11,0.518,
1996-12,0.536,
1997-01,0.519,
1997-02,0.545,
1997-03,0.555,
1997-04,0.555,
1997-05,0.566,
1997-06,0.633,
1997-07,0.646,
1997-08,0.631,
1997-09,0.619,
1997-10,0.628,
1997-11,0.608,
1997-12,0.585,
1998-01,0.593,
1998-02,0.678,
1998-03,0.604,
1998-04,0.589,
1998-05,0.592,
1998-06,0.591,
1998-07,0.601,
1998-08,0.603,
1998-09,0.604,
1998-10,0.634,
1998-11,0.639,
1998-12,0.695,
1999-01,0.701,
1999-02,0.738,
1999-03,0.734,
1999-04,0.586,
1999-05,0.758,
1999-06,0.710,
1999-07,0.712,
1999-08,0.716,
1999-09,0.699,
1999-10,0.746,
1999-11,0.737,
1999-12,0.735,
2000-01,0.736,
2000-02,0.767,
2000-03,0.768,
2000-04,0.759,
2000-05,0.757,
2000-06,0.464,
2000-07,0.480,
2000-08,0.502,
2000-09,0.477,
2000-10,0.481,
2000-11,0.486,
2000-12,0.559,
2001-01,0.482,
2001-02,0.492,
2001-03,0.477,
2001-04,0.493,
2001-05,0.471,
2001-06,0.609,
2001-07,0.484,
2001-08,0.477,
2001-09,0.578,
2001-10,0.587,
2001-11,0.568,
2001-12,0.506,
2002-01,0.371,
2002-02,0.390,
2002-03,0.457,
2002-04,0.477,
2002-05,0.482,
2002-06,0.484,
2002-07,0.487,
2002-08,0.499,
2002-09,0.475,
2002-10,0.457,
2002-11,0.491,
2002-12,0.466,
2003-01,0.442,
2003-02,0.411,
2003-03,0.323,
2003-04,0.337,
2003-05,0.351,
2003-06,0.301,
2003-07,0.293,
2003-08,0.323,
2003-09,0.275,
2003-10,0.263,
2003-11,0.317,
2003-12,0.292,
2004-01,0.291,
2004-02,0.303,
2004-03,0.275,
2004-04,0.281,
2004-05,0.310,
2004-06,0.308,
2004-07,0.278,
2004-08,0.286,
2004-09,0.290,
2004-10,0.289,
2004-11,0.284,
2004-12,0.292,
2005-01,0.280,
2005-02,0.298,
2005-03,0.320,
2005-04,0.331,
2005-05,0.313,
2005-06,0.332,
2005-07,0.330,
2005-08,0.320,
2005-09,0.319,
2005-10,0.298,
2005-11,0.318,
2005-12,0.315,
2006-01,0.329,
2006-02,0.314,
2006-03,0.334,
2006-04,0.311,
2006-05,0.299,
2006-06,0.285,
2006-07,0.300,
2006-08,0.302,
2006-09,0.293,
2006-10,0.244,
2006-11,0.248,
2006-12,0.268,
2007-01,0.269,
2007-02,0.291,
2007-03,0.308,
2007-04,0.308,
2007-05,0.307,
2007-06,0.266,
2007-07,0.268,
2007-08,0.273,
2007-09,0.273,
2007-10,0.275,
2007-11,0.288,
2007-12,0.287,
2008-01,0.295,
2008-02,0.306,
2008-03,0.316,
2008-04,0.379,
2008-05,0.353,
2008-06,0.345,
2008-07,0.330,
2008-08,0.320,
2008-09,0.311,
2008-10,0.359,
2008-11,0.332,
2008-12,0.345,
2009-01,0.353,
2009-02,0.365,
2009-03,0.341,
2009-04,0.332,
2009-05,0.326,
2009-06,0.337,
2009-07,0.331,
2009-08,0.330,
2009-09,0.336,
2009-10,0.310,
2009-11,0.329,
2009-12,0.338,
2010-01,0.343,
2010-02,0.324,
2010-03,0.348,
2010-04,0.348,
2010-05,0.427,
2010-06,0.394,
2010-07,0.398,
2010-08,0.403,
2010-09,0.424,
2010-10,0.425,
2010-11,0.422,
2010-12,0.390,
2011-01,0.404,
2011-02,0.432,
2011-03,0.412,
2011-04,0.439,
2011-05,0.437,
2011-06,0.429,
2011-07,0.426,
2011-08,0.461,
2011-09,0.456,
2011-10,0.435,
2011-11,0.425,
2011-12,0.416,
2012-01,0.415,
2012-02,0.424,
2012-03,0.431,
2012-04,0.449,
2012-05,0.452,
2012-06,0.473,
2012-07,0.484,
2012-08,0.501,
2012-09,0.539,
2012-10,0.500,
2012-11,0.498,
2012-12,0.517,
2013-01,0.483,
2013-02,0.480,
2013-03,0.512,
2013-04,0.498,
2013-05,0.499,
2013-06,0.524,
2013-07,0.540,
2013-08,0.523,
2013-09,0.490,
2013-10,0.524,
2013-11,0.559,
2013-12,0.553,
2014-01,0.542,
2014-02,0.533,
2014-03,0.557,
2014-04,0.565,
2014-05,0.579,
2014-06,0.571,
2014-07,0.554,
2014-08,0.540,
2014-09,0.578,
2014-10,0.577,
2014-11,0.568,
2014-12,0.561,
