"",BBFN1.M.DE.N.1.A.FI.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FI.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Finland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:46,
1994-12,0.576,
1995-01,0.587,
1995-02,0.610,
1995-03,0.651,
1995-04,0.667,
1995-05,0.675,
1995-06,0.656,
1995-07,0.649,
1995-08,0.637,
1995-09,0.661,
1995-10,0.677,
1995-11,0.670,
1995-12,0.594,
1996-01,0.543,
1996-02,0.578,
1996-03,0.605,
1996-04,0.728,
1996-05,0.731,
1996-06,0.723,
1996-07,0.694,
1996-08,0.682,
1996-09,0.752,
1996-10,0.802,
1996-11,0.788,
1996-12,0.742,
1997-01,0.715,
1997-02,0.785,
1997-03,0.866,
1997-04,0.829,
1997-05,0.831,
1997-06,0.846,
1997-07,0.827,
1997-08,0.819,
1997-09,0.835,
1997-10,0.814,
1997-11,0.716,
1997-12,0.674,
1998-01,0.645,
1998-02,0.681,
1998-03,0.923,
1998-04,0.745,
1998-05,0.755,
1998-06,0.836,
1998-07,0.789,
1998-08,0.817,
1998-09,0.946,
1998-10,0.993,
1998-11,1.007,
1998-12,1.092,
1999-01,0.973,
1999-02,1.058,
1999-03,1.424,
1999-04,1.338,
1999-05,1.301,
1999-06,1.267,
1999-07,1.284,
1999-08,1.396,
1999-09,1.445,
1999-10,1.502,
1999-11,1.506,
1999-12,1.433,
2000-01,1.422,
2000-02,1.396,
2000-03,1.521,
2000-04,1.387,
2000-05,1.593,
2000-06,1.437,
2000-07,1.452,
2000-08,1.362,
2000-09,1.617,
2000-10,1.625,
2000-11,1.564,
2000-12,1.477,
2001-01,1.494,
2001-02,1.395,
2001-03,1.526,
2001-04,1.487,
2001-05,1.436,
2001-06,1.349,
2001-07,1.212,
2001-08,1.247,
2001-09,1.231,
2001-10,1.481,
2001-11,1.510,
2001-12,1.286,
2002-01,1.231,
2002-02,1.311,
2002-03,1.972,
2002-04,1.911,
2002-05,1.995,
2002-06,1.999,
2002-07,1.725,
2002-08,1.830,
2002-09,2.010,
2002-10,2.069,
2002-11,1.814,
2002-12,1.801,
2003-01,1.629,
2003-02,1.831,
2003-03,1.923,
2003-04,1.953,
2003-05,1.958,
2003-06,1.892,
2003-07,1.707,
2003-08,1.692,
2003-09,1.794,
2003-10,1.814,
2003-11,1.933,
2003-12,1.841,
2004-01,1.965,
2004-02,1.903,
2004-03,2.000,
2004-04,2.053,
2004-05,2.081,
2004-06,2.070,
2004-07,1.942,
2004-08,1.953,
2004-09,2.005,
2004-10,2.095,
2004-11,2.120,
2004-12,2.139,
2005-01,2.073,
2005-02,2.229,
2005-03,2.072,
2005-04,2.138,
2005-05,2.191,
2005-06,2.173,
2005-07,2.269,
2005-08,2.280,
2005-09,2.270,
2005-10,2.407,
2005-11,2.443,
2005-12,2.239,
2006-01,2.270,
2006-02,2.520,
2006-03,2.506,
2006-04,2.498,
2006-05,2.711,
2006-06,2.603,
2006-07,2.567,
2006-08,2.568,
2006-09,2.826,
2006-10,2.910,
2006-11,2.852,
2006-12,2.752,
2007-01,2.853,
2007-02,2.955,
2007-03,3.069,
2007-04,3.128,
2007-05,3.156,
2007-06,3.166,
2007-07,3.214,
2007-08,3.036,
2007-09,3.104,
2007-10,2.926,
2007-11,3.047,
2007-12,3.099,
2008-01,2.848,
2008-02,2.894,
2008-03,2.919,
2008-04,3.140,
2008-05,3.469,
2008-06,3.555,
2008-07,3.288,
2008-08,3.472,
2008-09,3.670,
2008-10,3.673,
2008-11,4.066,
2008-12,3.781,
2009-01,3.505,
2009-02,3.369,
2009-03,3.694,
2009-04,3.598,
2009-05,3.821,
2009-06,3.773,
2009-07,3.856,
2009-08,3.815,
2009-09,4.423,
2009-10,4.574,
2009-11,4.764,
2009-12,4.643,
2010-01,4.711,
2010-02,5.166,
2010-03,4.969,
2010-04,5.520,
2010-05,5.332,
2010-06,5.341,
2010-07,5.387,
2010-08,5.352,
2010-09,5.460,
2010-10,5.794,
2010-11,5.555,
2010-12,5.810,
2011-01,5.396,
2011-02,5.539,
2011-03,5.754,
2011-04,6.232,
2011-05,7.252,
2011-06,7.464,
2011-07,6.496,
2011-08,6.064,
2011-09,6.809,
2011-10,6.545,
2011-11,7.073,
2011-12,6.780,
2012-01,6.771,
2012-02,8.251,
2012-03,9.455,
2012-04,8.948,
2012-05,10.237,
2012-06,10.819,
2012-07,11.627,
2012-08,11.303,
2012-09,13.087,
2012-10,12.953,
2012-11,13.828,
2012-12,14.178,
2013-01,16.702,
2013-02,16.778,
2013-03,16.529,
2013-04,16.918,
2013-05,16.561,
2013-06,17.226,
2013-07,17.533,
2013-08,18.017,
2013-09,19.085,
2013-10,20.788,
2013-11,20.788,
2013-12,19.707,
2014-01,22.669,
2014-02,22.900,
2014-03,22.045,
2014-04,21.933,
2014-05,22.653,
2014-06,22.869,
2014-07,20.400,
2014-08,20.250,
2014-09,21.512,
2014-10,22.628,
2014-11,21.879,
2014-12,20.769,
