"",BBK01.PQA353,BBK01.PQA353_FLAGS
"",Lending to domestic enterprises and resident individuals / Long-term / All categories of banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:06,
1950-04,1.780,
1950-07,2.315,
1950-10,2.901,
1951-01,3.295,
1951-04,3.719,
1951-07,4.075,
1951-10,4.529,
1952-01,4.871,
1952-04,5.242,
1952-07,5.700,
1952-10,6.392,
1953-01,6.850,
1953-04,7.468,
1953-07,8.108,
1953-10,8.823,
1954-01,9.366,
1954-04,9.922,
1954-07,10.988,
1954-10,11.904,
1955-01,12.653,
1955-04,13.477,
1955-07,14.586,
1955-10,15.890,
1956-01,16.654,
1956-04,17.458,
1956-07,18.308,
1956-10,18.919,
1957-01,19.400,
1957-04,19.942,
1957-07,20.777,
1957-10,21.621,
1958-01,22.297,
1958-04,23.014,
1958-07,24.192,
1958-10,25.310,
1959-01,26.066,
1959-04,26.875,
1959-07,28.346,
1959-10,30.362,
1960-01,31.305,
1960-04,32.433,
1960-07,33.658,
1960-10,42.148,
1961-01,43.549,
1961-04,44.920,
1961-07,46.908,
1961-10,48.922,
1962-01,50.279,
1962-04,51.901,
1962-07,53.879,
1962-10,56.236,
1963-01,57.337,
1963-04,59.163,
1963-07,61.421,
1963-10,63.974,
1964-01,65.604,
1964-04,67.521,
1964-07,69.926,
1964-10,72.584,
1965-01,74.422,
1965-04,76.238,
1965-07,78.622,
1965-10,81.088,
1966-01,82.652,
1966-04,84.115,
1966-07,85.846,
1966-10,87.459,
1967-01,88.802,
1967-04,90.173,
1967-07,92.163,
1967-10,95.040,
1968-01,97.007,
1968-04,98.988,
1968-07,101.729,
1968-10,107.587,
1969-01,109.910,
1969-04,112.753,
1969-07,116.242,
1969-10,120.364,
1970-01,122.379,
1970-04,124.763,
1970-07,127.737,
1970-10,131.698,
1971-01,133.911,
1971-04,136.874,
1971-07,141.434,
1971-10,146.617,
1972-01,151.041,
1972-04,155.486,
1972-07,161.013,
1972-10,168.570,
1973-01,175.298,
1973-04,179.687,
1973-07,184.646,
1973-10,190.555,
1974-01,193.154,
1974-04,195.409,
1974-07,198.903,
1974-10,203.674,
1975-01,207.202,
1975-04,211.653,
1975-07,217.644,
1975-10,225.679,
1976-01,229.807,
1976-04,234.576,
1976-07,240.118,
1976-10,247.916,
1977-01,251.905,
1977-04,257.602,
1977-07,265.068,
1977-10,274.021,
1978-01,278.852,
1978-04,286.516,
1978-07,296.416,
1978-10,308.512,
1979-01,315.718,
1979-04,324.936,
1979-07,333.981,
1979-10,345.171,
1980-01,351.812,
1980-04,358.657,
1980-07,365.920,
1980-10,376.659,
1981-01,383.069,
1981-04,389.424,
1981-07,394.964,
1981-10,401.638,
1982-01,402.893,
1982-04,406.546,
1982-07,413.336,
1982-10,424.076,
1983-01,427.619,
1983-04,436.888,
1983-07,445.369,
1983-10,458.668,
1984-01,461.890,
1984-04,468.524,
1984-07,477.740,
1984-10,492.083,
1985-01,499.068,
1985-04,506.905,
1985-07,515.955,
1985-10,538.974,
1986-01,543.383,
1986-04,553.779,
1986-07,565.754,
1986-10,580.339,
1987-01,584.453,
1987-04,592.713,
1987-07,604.611,
1987-10,617.106,
1988-01,621.822,
1988-04,629.682,
1988-07,641.483,
1988-10,655.003,
1989-01,662.065,
1989-04,671.358,
1989-07,681.576,
1989-10,699.388,
1990-01,706.812,
1990-04,764.642,
1990-07,770.464,
1990-10,786.096,
1991-01,793.237,
1991-04,805.717,
1991-07,823.936,
1991-10,849.915,
1992-01,869.894,
1992-04,891.837,
1992-07,910.333,
1992-10,927.313,
1993-01,943.317,
1993-04,967.203,
1993-07,998.696,
1993-10,1050.029,
1994-01,1072.924,
1994-04,1101.118,
1994-07,1129.389,
1994-10,1140.352,
1995-01,1136.752,
1995-04,1153.279,
1995-07,1179.230,
1995-10,1216.102,
1996-01,1234.659,
1996-04,1253.635,
1996-07,1278.383,
1996-10,1321.940,
1997-01,1337.629,
1997-04,1359.058,
1997-07,1383.232,
1997-10,1417.861,
1998-01,1431.970,
1998-04,1450.177,
1998-07,1476.180,
1998-10,1525.287,
1999-01,1484.690,
1999-04,1511.238,
1999-07,1544.594,
1999-10,1582.301,
2000-01,1593.947,
2000-04,1608.257,
2000-07,1627.136,
2000-10,1646.042,
2001-01,1652.059,
2001-04,1661.421,
2001-07,1676.070,
2001-10,1689.399,
2002-01,1692.932,
2002-04,1699.854,
2002-07,1708.569,
2002-10,1716.348,
2003-01,1714.030,
2003-04,1719.321,
2003-07,1727.234,
2003-10,1732.763,
2004-01,1729.036,
2004-04,1736.974,
2004-07,1743.689,
2004-10,1746.459,
2005-01,1737.535,
2005-04,1743.684,
2005-07,1750.299,
2005-10,1758.757,
2006-01,1773.458,
2006-04,1777.150,
2006-07,1781.346,
2006-10,1778.137,
2007-01,1773.630,
2007-04,1770.266,
2007-07,1775.511,
2007-10,1779.637,
2008-01,1776.062,
2008-04,1782.576,
2008-07,1794.388,
2008-10,1799.999,
2009-01,1791.140,
2009-04,1793.313,
2009-07,1801.049,
2009-10,1808.594,
2010-01,1806.870,
2010-04,1817.874,
2010-07,1824.478,
2010-10,1831.843,
2011-01,1827.644,
2011-04,1833.575,
2011-07,1842.684,
2011-10,1851.655,
2012-01,1852.714,
2012-04,1860.107,
2012-07,1869.109,
2012-10,1869.794,
2013-01,1869.723,
2013-04,1875.399,
2013-07,1879.439,
2013-10,1888.881,
2014-01,1887.303,
2014-04,1895.608,
2014-07,1910.005,
2014-10,1921.021,
