"",BBSF2.M.1.T.00000.ALT01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.ALT01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Pension investment funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:20,
2009-09,231,
2009-10,223,
2009-11,222,
2009-12,235,
2010-01,95,
2010-02,95,
2010-03,104,
2010-04,94,
2010-05,84,
2010-06,82,
2010-07,108,
2010-08,108,
2010-09,113,
2010-10,115,
2010-11,104,
2010-12,111,
2011-01,120,
2011-02,122,
2011-03,122,
2011-04,124,
2011-05,118,
2011-06,113,
2011-07,104,
2011-08,96,
2011-09,137,
2011-10,.,No value available
2011-11,135,
2011-12,139,
2012-01,138,
2012-02,143,
2012-03,142,
2012-04,123,
2012-05,113,
2012-06,118,
2012-07,123,
2012-08,133,
2012-09,131,
2012-10,144,
2012-11,136,
2012-12,141,
2013-01,140,
2013-02,138,
2013-03,142,
2013-04,144,
2013-05,144,
2013-06,147,
2013-07,155,
2013-08,140,
2013-09,143,
2013-10,147,
2013-11,156,
2013-12,160,
2014-01,156,
2014-02,168,
2014-03,172,
2014-04,163,
2014-05,165,
2014-06,161,
2014-07,146,
2014-08,148,
2014-09,150,
2014-10,145,
2014-11,167,
