"",BBK01.OEAE03H,BBK01.OEAE03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:03,
2002-01,10.041,
2002-04,10.075,
2002-07,9.783,
2002-10,8.733,
2003-01,7.221,
2003-04,7.318,
2003-07,7.162,
2003-10,6.172,
2004-01,5.617,
2004-04,7.054,
2004-07,6.706,
2004-10,6.217,
2005-01,6.306,
2005-04,6.467,
2005-07,6.157,
2005-10,6.261,
2006-01,5.985,
2006-04,5.306,
2006-07,5.433,
2006-10,5.281,
2007-01,5.317,
2007-04,5.635,
2007-07,7.046,
2007-10,6.998,
2008-01,7.183,
2008-04,7.793,
2008-07,6.778,
2008-10,7.363,
2009-01,7.419,
2009-04,7.676,
2009-07,7.481,
2009-10,7.801,
2010-01,6.318,
2010-04,5.898,
2010-07,6.175,
2010-10,6.005,
2011-01,6.180,
2011-04,6.055,
2011-07,5.964,
2011-10,4.959,
2012-01,4.868,
2012-04,5.042,
2012-07,4.796,
2012-10,4.749,
2013-01,4.829,
2013-04,4.670,
2013-07,4.695,
2013-10,4.500,
2014-01,4.474,
2014-04,4.611,
2014-07,4.514,
