"",BBFB1.Q.N.DE.JP.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:11,
1991-01,54.211,
1991-04,51.120,
1991-07,54.904,
1991-10,53.299,
1992-01,74.073,
1992-04,71.798,
1992-07,73.971,
1992-10,73.320,
1993-01,379.526,
1993-04,387.819,
1993-07,404.702,
1993-10,405.235,
1994-01,338.620,
1994-04,329.464,
1994-07,334.317,
1994-10,329.224,
1995-01,538.746,
1995-04,538.797,
1995-07,539.676,
1995-10,548.570,
1996-01,238.531,
1996-04,247.826,
1996-07,249.645,
1996-10,259.207,
1997-01,130.990,
1997-04,137.260,
1997-07,142.416,
1997-10,137.292,
1998-01,296.918,
1998-04,300.908,
1998-07,344.719,
1998-10,351.267,
1999-01,369.376,
1999-04,408.833,
1999-07,428.518,
1999-10,433.445,
2000-01,37.245,
2000-04,39.314,
2000-07,58.333,
2000-10,56.891,
2001-01,270.329,
2001-04,275.309,
2001-07,295.412,
2001-10,289.444,
2002-01,134.902,
2002-04,133.568,
2002-07,141.720,
2002-10,148.695,
2003-01,238.923,
2003-04,231.897,
2003-07,234.474,
2003-10,220.075,
2004-01,138.322,
2004-04,118.013,
2004-07,111.657,
2004-10,112.430,
2005-01,51.622,
2005-04,55.353,
2005-07,77.464,
2005-10,73.034,
2006-01,686.638,
2006-04,663.226,
2006-07,629.956,
2006-10,614.751,
2007-01,412.906,
2007-04,400.698,
2007-07,388.361,
2007-10,410.724,
2008-01,523.547,
2008-04,516.274,
2008-07,517.634,
2008-10,515.556,
2009-01,601.018,
2009-04,605.585,
2009-07,596.848,
2009-10,622.823,
2010-01,763.617,
2010-04,910.410,
2010-07,896.615,
2010-10,957.691,
2011-01,319.007,
2011-04,355.803,
2011-07,340.958,
2011-10,356.807,
2012-01,155.576,
2012-04,155.824,
2012-07,172.239,
2012-10,146.454,
2013-01,934.847,
2013-04,944.294,
2013-07,932.682,
2013-10,941.263,
2014-01,484.572,Provisional value
2014-04,510.383,Provisional value
2014-07,507.344,Provisional value
