"",BBK01.OEAA03H,BBK01.OEAA03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:43,
2002-01,73.778,
2002-04,71.586,
2002-07,73.178,
2002-10,68.627,
2003-01,66.311,
2003-04,62.306,
2003-07,61.685,
2003-10,60.369,
2004-01,60.310,
2004-04,55.728,
2004-07,58.523,
2004-10,55.136,
2005-01,56.159,
2005-04,57.321,
2005-07,58.003,
2005-10,51.235,
2006-01,62.140,
2006-04,58.863,
2006-07,63.550,
2006-10,55.998,
2007-01,74.002,
2007-04,68.078,
2007-07,73.103,
2007-10,65.741,
2008-01,80.416,
2008-04,88.948,
2008-07,90.876,
2008-10,67.525,
2009-01,71.709,
2009-04,68.857,
2009-07,64.936,
2009-10,54.007,
2010-01,56.271,
2010-04,60.236,
2010-07,60.775,
2010-10,118.062,
2011-01,93.163,
2011-04,83.049,
2011-07,75.067,
2011-10,63.724,
2012-01,67.121,
2012-04,63.769,
2012-07,70.663,
2012-10,62.852,
2013-01,66.123,
2013-04,63.616,
2013-07,52.490,
2013-10,49.398,
2014-01,49.443,
2014-04,50.868,
2014-07,51.687,
