"",BBK01.OECB03M,BBK01.OECB03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:36,
2002-01,1.249,
2002-04,0.909,
2002-07,0.816,
2002-10,0.747,
2003-01,0.825,
2003-04,0.710,
2003-07,0.827,
2003-10,0.693,
2004-01,0.719,
2004-04,0.795,
2004-07,1.002,
2004-10,0.739,
2005-01,2.230,
2005-04,0.879,
2005-07,0.913,
2005-10,0.895,
2006-01,0.879,
2006-04,0.883,
2006-07,0.947,
2006-10,1.573,
2007-01,0.942,
2007-04,0.968,
2007-07,1.053,
2007-10,1.408,
2008-01,1.343,
2008-04,1.356,
2008-07,1.371,
2008-10,1.310,
2009-01,1.362,
2009-04,1.370,
2009-07,1.314,
2009-10,1.125,
2010-01,1.122,
2010-04,0.955,
2010-07,0.983,
2010-10,0.937,
2011-01,0.967,
2011-04,0.928,
2011-07,0.882,
2011-10,0.919,
2012-01,0.923,
2012-04,0.897,
2012-07,0.912,
2012-10,0.848,
2013-01,0.838,
2013-04,0.979,
2013-07,0.969,
2013-10,0.957,
2014-01,1.017,
2014-04,0.959,
2014-07,0.933,
