"",BBK01.OEAF28G,BBK01.OEAF28G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:50,
2002-01,0.072,
2002-04,0.095,
2002-07,0.092,
2002-10,0.089,
2003-01,0.083,
2003-04,0.092,
2003-07,0.101,
2003-10,0.119,
2004-01,0.120,
2004-04,0.095,
2004-07,0.085,
2004-10,0.082,
2005-01,0.076,
2005-04,0.080,
2005-07,0.096,
2005-10,0.092,
2006-01,0.086,
2006-04,0.079,
2006-07,0.078,
2006-10,0.083,
2007-01,0.081,
2007-04,0.077,
2007-07,0.070,
2007-10,0.070,
2008-01,0.068,
2008-04,0.106,
2008-07,0.110,
2008-10,0.132,
2009-01,0.120,
2009-04,0.103,
2009-07,0.108,
2009-10,0.060,
2010-01,0.054,
2010-04,0.055,
2010-07,0.056,
2010-10,0.053,
2011-01,0.049,
2011-04,0.050,
2011-07,0.052,
2011-10,0.055,
2012-01,0.052,
2012-04,0.054,
2012-07,0.059,
2012-10,0.058,
2013-01,0.050,
2013-04,0.048,
2013-07,0.046,
2013-10,0.051,
2014-01,0.048,
2014-04,0.048,
2014-07,0.049,
