"",BBFB1.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:40,
1991-01,-1384.558,
1991-02,-1260.121,
1991-03,-3936.968,
1991-04,-1399.525,
1991-05,-2402.688,
1991-06,-3084.363,
1991-07,-2698.650,
1991-08,-1561.531,
1991-09,-1796.953,
1991-10,-1443.890,
1991-11,187.411,
1991-12,-38.844,
1992-01,-2873.433,
1992-02,-1114.143,
1992-03,-267.454,
1992-04,-993.522,
1992-05,-1879.212,
1992-06,-2630.779,
1992-07,-3141.403,
1992-08,-559.024,
1992-09,-1089.972,
1992-10,-381.403,
1992-11,-863.307,
1992-12,-2822.009,
1993-01,-2153.009,
1993-02,43.537,
1993-03,478.711,
1993-04,-1979.613,
1993-05,-1541.878,
1993-06,-710.284,
1993-07,-3275.560,
1993-08,-3802.145,
1993-09,-2078.823,
1993-10,-900.493,
1993-11,-153.448,
1993-12,-661.766,
1994-01,-2441.451,
1994-02,-2152.711,
1994-03,-597.602,
1994-04,-1396.816,
1994-05,-1979.130,
1994-06,-783.561,
1994-07,-4932.555,
1994-08,-2939.237,
1994-09,-3492.929,
1994-10,-1216.110,
1994-11,-787.309,
1994-12,-3160.979,
1995-01,-1515.290,
1995-02,-1508.337,
1995-03,-2188.213,
1995-04,-1477.743,
1995-05,-1715.507,
1995-06,-1917.235,
1995-07,-3574.113,
1995-08,-4049.596,
1995-09,-2366.630,
1995-10,-2486.513,
1995-11,76.697,
1995-12,746.371,
1996-01,-3901.166,
1996-02,931.847,
1996-03,-317.680,
1996-04,-1140.779,
1996-05,-905.372,
1996-06,-3197.252,
1996-07,-2105.419,
1996-08,-3886.038,
1996-09,-1324.232,
1996-10,495.500,
1996-11,292.072,
1996-12,2067.541,
1997-01,-6668.637,
1997-02,-1107.348,
1997-03,56.199,
1997-04,482.211,
1997-05,-2446.188,
1997-06,-405.949,
1997-07,-1491.297,
1997-08,-3988.226,
1997-09,-134.037,
1997-10,-2034.117,
1997-11,-210.368,
1997-12,7952.581,
1998-01,-6242.566,
1998-02,-805.944,
1998-03,2270.633,
1998-04,-865.645,
1998-05,-188.260,
1998-06,-944.152,
1998-07,-977.386,
1998-08,-5030.053,
1998-09,-2165.933,
1998-10,-2776.962,
1998-11,1083.362,
1998-12,2336.815,
1999-01,-7400.675,
1999-02,-2324.952,
1999-03,584.497,
1999-04,437.548,
1999-05,-4732.564,
1999-06,287.348,
1999-07,-1719.775,
1999-08,-7428.119,
1999-09,-3817.236,
1999-10,-2767.772,
1999-11,-568.277,
1999-12,229.715,
2000-01,-6229.838,
2000-02,-300.669,
2000-03,2296.093,
2000-04,-2609.192,
2000-05,-3315.155,
2000-06,-1479.298,
2000-07,-3245.942,
2000-08,-9353.224,
2000-09,-5095.493,
2000-10,-3516.319,
2000-11,-4762.858,
2000-12,654.372,
2001-01,-5202.438,
2001-02,-475.702,
2001-03,1593.908,
2001-04,-2837.305,
2001-05,-2213.801,
2001-06,-1235.660,
2001-07,-1242.688,
2001-08,-1713.192,
2001-09,-2194.161,
2001-10,998.465,
2001-11,18.148,
2001-12,6597.858,
2002-01,1657.154,
2002-02,2817.873,
2002-03,4165.647,
2002-04,2305.007,
2002-05,967.059,
2002-06,4027.999,
2002-07,4663.288,
2002-08,1478.460,
2002-09,4104.174,
2002-10,3118.776,
2002-11,5819.534,
2002-12,6530.672,
2003-01,-1457.399,
2003-02,2783.808,
2003-03,4197.868,
2003-04,242.747,
2003-05,672.505,
2003-06,2386.279,
2003-07,3305.954,
2003-08,-1102.558,
2003-09,4062.862,
2003-10,3652.523,
2003-11,3977.312,
2003-12,9003.574,
2004-01,5080.485,
2004-02,7552.598,
2004-03,12832.559,
2004-04,8777.650,
2004-05,8834.974,
2004-06,10293.104,
2004-07,7689.956,
2004-08,3345.456,
2004-09,7111.228,
2004-10,8238.960,
2004-11,8915.405,
2004-12,13385.034,
2005-01,5819.456,
2005-02,9979.575,
2005-03,12762.192,
2005-04,7483.064,
2005-05,6450.665,
2005-06,11930.666,
2005-07,7718.345,
2005-08,4780.509,
2005-09,10072.823,
2005-10,7102.273,
2005-11,10319.797,
2005-12,12979.354,
2006-01,9409.807,
2006-02,9433.935,
2006-03,11705.541,
2006-04,10122.110,
2006-05,6495.395,
2006-06,12815.788,
2006-07,8621.272,
2006-08,7367.328,
2006-09,12270.092,
2006-10,15022.255,
2006-11,17160.684,
2006-12,17642.006,
2007-01,13303.180,
2007-02,10356.948,
2007-03,19632.125,
2007-04,12453.413,
2007-05,9751.818,
2007-06,16747.376,
2007-07,13294.535,
2007-08,9111.467,
2007-09,16072.248,
2007-10,15947.951,
2007-11,18806.784,
2007-12,17654.537,
2008-01,13697.834,
2008-02,14167.454,
2008-03,15736.327,
2008-04,13868.534,
2008-05,7702.601,
2008-06,17418.988,
2008-07,9682.572,
2008-08,5673.026,
2008-09,13096.154,
2008-10,13396.935,
2008-11,8895.927,
2008-12,14484.409,
2009-01,5506.966,
2009-02,9350.977,
2009-03,13522.468,
2009-04,8246.007,
2009-05,6946.428,
2009-06,13875.602,
2009-07,14430.779,
2009-08,7542.352,
2009-09,12048.132,
2009-10,11077.521,
2009-11,17012.679,
2009-12,23612.713,
2010-01,7094.672,
2010-02,10937.903,
2010-03,17240.807,
2010-04,11557.194,
2010-05,5172.638,
2010-06,13008.947,
2010-07,10083.739,
2010-08,5744.596,
2010-09,15771.803,
2010-10,13583.381,
2010-11,15403.083,
2010-12,21052.830,
2011-01,8707.122,
2011-02,10589.437,
2011-03,21721.770,
2011-04,11250.185,
2011-05,8787.780,
2011-06,12848.216,
2011-07,9561.051,
2011-08,9551.717,
2011-09,18440.680,
2011-10,11472.487,
2011-11,18607.942,
2011-12,22431.990,
2012-01,12485.001,
2012-02,14461.526,
2012-03,19941.544,
2012-04,13082.160,
2012-05,11514.586,
2012-06,19885.744,
2012-07,17009.541,
2012-08,13748.623,
2012-09,17618.090,
2012-10,16095.044,
2012-11,19510.256,
2012-12,20889.947,
2013-01,10905.560,
2013-02,12326.040,
2013-03,21412.916,
2013-04,16699.536,
2013-05,12655.885,
2013-06,17006.789,
2013-07,12099.829,
2013-08,7784.901,
2013-09,18989.268,
2013-10,16991.867,
2013-11,21121.572,
2013-12,21247.708,
2014-01,13218.014,
2014-02,14227.647,
2014-03,21755.691,
2014-04,16950.487,
2014-05,11965.554,
2014-06,16820.657,
2014-07,19781.050,
2014-08,10362.655,
2014-09,23622.996,
2014-10,22433.886,
2014-11,18920.964,
2014-12,25285.373,Provisional value
