"",BBFN1.M.DE.N.1.A.NO.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NO.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Norway,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:46,
1982-09,0.107,
1982-10,0.114,
1982-11,0.110,
1982-12,0.115,
1983-01,0.122,
1983-02,0.122,
1983-03,0.120,
1983-04,0.121,
1983-05,0.121,
1983-06,0.125,
1983-07,0.125,
1983-08,0.128,
1983-09,0.128,
1983-10,0.132,
1983-11,0.135,
1983-12,0.146,
1984-01,0.151,
1984-02,0.143,
1984-03,0.143,
1984-04,0.157,
1984-05,0.156,
1984-06,0.157,
1984-07,0.157,
1984-08,0.162,
1984-09,0.187,
1984-10,0.187,
1984-11,0.179,
1984-12,0.182,
1985-01,0.175,
1985-02,0.171,
1985-03,0.167,
1985-04,0.168,
1985-05,0.166,
1985-06,0.166,
1985-07,0.178,
1985-08,0.195,
1985-09,0.204,
1985-10,0.204,
1985-11,0.187,
1985-12,0.162,
1986-01,0.177,
1986-02,0.171,
1986-03,0.165,
1986-04,0.161,
1986-05,0.161,
1986-06,0.169,
1986-07,0.183,
1986-08,0.184,
1986-09,0.148,
1986-10,0.146,
1986-11,0.159,
1986-12,0.132,
1987-01,0.105,
1987-02,0.095,
1987-03,0.096,
1987-04,0.094,
1987-05,0.100,
1987-06,0.113,
1987-07,0.125,
1987-08,0.186,
1987-09,0.198,
1987-10,0.196,
1987-11,0.167,
1987-12,0.172,
1988-01,0.174,
1988-02,0.176,
1988-03,0.186,
1988-04,0.192,
1988-05,0.212,
1988-06,0.242,
1988-07,0.231,
1988-08,0.233,
1988-09,0.299,
1988-10,0.323,
1988-11,0.293,
1988-12,0.188,
1989-01,0.190,
1989-02,0.197,
1989-03,0.192,
1989-04,0.181,
1989-05,0.186,
1989-06,0.206,
1989-07,0.217,
1989-08,0.233,
1989-09,0.218,
1989-10,0.175,
1989-11,0.169,
1989-12,0.172,
1990-01,0.174,
1990-02,0.183,
1990-03,0.180,
1990-04,0.180,
1990-05,0.175,
1990-06,0.180,
1990-07,0.186,
1990-08,0.190,
1990-09,0.183,
1990-10,0.210,
1990-11,0.244,
1990-12,0.369,
1991-01,0.357,
1991-02,0.357,
1991-03,0.353,
1991-04,0.349,
1991-05,0.352,
1991-06,0.352,
1991-07,0.360,
1991-08,0.368,
1991-09,0.341,
1991-10,0.366,
1991-11,0.372,
1991-12,0.390,
1992-01,0.376,
1992-02,0.378,
1992-03,0.374,
1992-04,0.357,
1992-05,0.360,
1992-06,0.364,
1992-07,0.371,
1992-08,0.368,
1992-09,0.378,
1992-10,0.380,
1992-11,0.374,
1992-12,0.341,
1993-01,0.341,
1993-02,0.458,
1993-03,0.458,
1993-04,0.496,
1993-05,0.512,
1993-06,0.575,
1993-07,0.629,
1993-08,0.645,
1993-09,0.574,
1993-10,0.584,
1993-11,0.584,
1993-12,0.555,
1994-01,0.576,
1994-02,0.588,
1994-03,0.594,
1994-04,0.570,
1994-05,0.607,
1994-06,0.605,
1994-07,0.656,
1994-08,0.647,
1994-09,0.607,
1994-10,0.588,
1994-11,0.583,
1994-12,0.523,
1995-01,0.496,
1995-02,0.614,
1995-03,0.623,
1995-04,0.629,
1995-05,0.603,
1995-06,0.568,
1995-07,0.610,
1995-08,0.602,
1995-09,0.601,
1995-10,0.654,
1995-11,0.655,
1995-12,0.661,
1996-01,0.612,
1996-02,0.606,
1996-03,0.570,
1996-04,0.571,
1996-05,0.562,
1996-06,0.614,
1996-07,0.606,
1996-08,0.597,
1996-09,0.585,
1996-10,0.538,
1996-11,0.580,
1996-12,0.669,
1997-01,0.667,
1997-02,0.623,
1997-03,0.630,
1997-04,0.574,
1997-05,0.590,
1997-06,0.621,
1997-07,0.624,
1997-08,0.632,
1997-09,0.633,
1997-10,0.633,
1997-11,0.637,
1997-12,0.682,
1998-01,0.703,
1998-02,0.691,
1998-03,0.700,
1998-04,0.709,
1998-05,0.656,
1998-06,0.636,
1998-07,0.666,
1998-08,0.645,
1998-09,0.536,
1998-10,0.526,
1998-11,0.572,
1998-12,0.836,
1999-01,0.610,
1999-02,0.610,
1999-03,0.632,
1999-04,0.683,
1999-05,0.726,
1999-06,0.726,
1999-07,1.947,
1999-08,1.984,
1999-09,2.317,
1999-10,1.183,
1999-11,1.184,
1999-12,1.178,
2000-01,1.195,
2000-02,1.174,
2000-03,1.111,
2000-04,1.065,
2000-05,1.115,
2000-06,1.166,
2000-07,1.145,
2000-08,1.112,
2000-09,1.203,
2000-10,1.162,
2000-11,1.187,
2000-12,1.134,
2001-01,1.139,
2001-02,1.213,
2001-03,1.214,
2001-04,1.228,
2001-05,1.489,
2001-06,1.492,
2001-07,1.460,
2001-08,0.925,
2001-09,1.018,
2001-10,0.954,
2001-11,1.043,
2001-12,1.038,
2002-01,0.979,
2002-02,0.998,
2002-03,0.867,
2002-04,0.860,
2002-05,0.892,
2002-06,0.807,
2002-07,0.864,
2002-08,0.867,
2002-09,0.880,
2002-10,0.741,
2002-11,0.728,
2002-12,0.709,
2003-01,0.773,
2003-02,0.858,
2003-03,0.964,
2003-04,0.898,
2003-05,1.257,
2003-06,1.204,
2003-07,1.101,
2003-08,1.147,
2003-09,0.761,
2003-10,0.594,
2003-11,0.605,
2003-12,0.652,
2004-01,0.576,
2004-02,0.684,
2004-03,0.627,
2004-04,0.661,
2004-05,0.750,
2004-06,1.118,
2004-07,1.165,
2004-08,1.207,
2004-09,1.269,
2004-10,1.339,
2004-11,1.384,
2004-12,1.006,
2005-01,0.983,
2005-02,0.961,
2005-03,1.002,
2005-04,1.105,
2005-05,0.854,
2005-06,0.835,
2005-07,0.810,
2005-08,0.796,
2005-09,1.090,
2005-10,1.103,
2005-11,0.889,
2005-12,0.811,
2006-01,0.856,
2006-02,1.596,
2006-03,1.531,
2006-04,1.539,
2006-05,1.472,
2006-06,1.457,
2006-07,1.651,
2006-08,1.334,
2006-09,1.420,
2006-10,1.587,
2006-11,1.719,
2006-12,1.668,
2007-01,1.736,
2007-02,2.013,
2007-03,2.545,
2007-04,2.609,
2007-05,3.201,
2007-06,3.348,
2007-07,3.406,
2007-08,3.389,
2007-09,3.593,
2007-10,3.438,
2007-11,3.376,
2007-12,3.419,
2008-01,3.539,
2008-02,3.796,
2008-03,3.871,
2008-04,4.246,
2008-05,4.739,
2008-06,4.551,
2008-07,4.693,
2008-08,4.877,
2008-09,5.116,
2008-10,4.836,
2008-11,5.008,
2008-12,5.002,
2009-01,5.363,
2009-02,5.340,
2009-03,5.288,
2009-04,5.490,
2009-05,5.547,
2009-06,5.993,
2009-07,6.233,
2009-08,6.293,
2009-09,6.076,
2009-10,6.204,
2009-11,5.961,
2009-12,5.988,
2010-01,6.281,
2010-02,6.567,
2010-03,7.056,
2010-04,7.210,
2010-05,7.085,
2010-06,7.067,
2010-07,7.199,
2010-08,7.369,
2010-09,7.484,
2010-10,7.765,
2010-11,7.808,
2010-12,7.809,
2011-01,8.693,
2011-02,8.680,
2011-03,8.737,
2011-04,8.328,
2011-05,9.205,
2011-06,8.927,
2011-07,9.477,
2011-08,9.457,
2011-09,9.513,
2011-10,9.983,
2011-11,10.037,
2011-12,9.718,
2012-01,9.900,
2012-02,10.074,
2012-03,10.333,
2012-04,10.158,
2012-05,10.599,
2012-06,10.352,
2012-07,10.759,
2012-08,11.302,
2012-09,11.197,
2012-10,11.299,
2012-11,11.234,
2012-12,10.915,
2013-01,11.146,
2013-02,11.392,
2013-03,11.529,
2013-04,11.799,
2013-05,11.748,
2013-06,11.166,
2013-07,11.233,
2013-08,11.410,
2013-09,11.270,
2013-10,11.973,
2013-11,12.172,
2013-12,11.660,
2014-01,11.850,
2014-02,12.028,
2014-03,12.189,
2014-04,12.650,
2014-05,12.419,
2014-06,12.357,
2014-07,12.175,
2014-08,12.147,
2014-09,12.000,
2014-10,12.081,
2014-11,12.216,
2014-12,12.209,
