"",BBK01.OEYB02R,BBK01.OEYB02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:16,
2002-01,0.065,
2002-04,0.067,
2002-07,0.075,
2002-10,0.091,
2003-01,0.153,
2003-04,0.147,
2003-07,0.149,
2003-10,0.373,
2004-01,0.153,
2004-04,0.160,
2004-07,0.161,
2004-10,0.127,
2005-01,0.099,
2005-04,0.128,
2005-07,0.125,
2005-10,0.123,
2006-01,0.109,
2006-04,0.166,
2006-07,0.121,
2006-10,0.122,
2007-01,0.128,
2007-04,0.086,
2007-07,0.090,
2007-10,0.050,
2008-01,0.083,
2008-04,0.044,
2008-07,0.101,
2008-10,0.152,
2009-01,0.161,
2009-04,0.126,
2009-07,0.064,
2009-10,0.150,
2010-01,0.073,
2010-04,0.015,
2010-07,0.095,
2010-10,0.030,
2011-01,0.099,
2011-04,0.087,
2011-07,0.035,
2011-10,0.028,
2012-01,0.069,
2012-04,0.028,
2012-07,0.036,
2012-10,0.041,
2013-01,0.021,
2013-04,0.021,
2013-07,0.023,
2013-10,0.027,
2014-01,0.032,
2014-04,0.060,
2014-07,0.019,
