"",BBK01.OEXB01Q,BBK01.OEXB01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:35,
2002-01,6.609,
2002-04,6.472,
2002-07,6.405,
2002-10,6.416,
2003-01,6.654,
2003-04,6.610,
2003-07,6.295,
2003-10,5.955,
2004-01,5.933,
2004-04,5.931,
2004-07,5.838,
2004-10,3.495,
2005-01,3.448,
2005-04,3.488,
2005-07,3.541,
2005-10,3.591,
2006-01,3.669,
2006-04,3.744,
2006-07,3.737,
2006-10,3.822,
2007-01,3.817,
2007-04,3.815,
2007-07,3.838,
2007-10,3.920,
2008-01,4.016,
2008-04,4.128,
2008-07,4.112,
2008-10,3.890,
2009-01,3.870,
2009-04,3.614,
2009-07,3.609,
2009-10,3.576,
2010-01,3.551,
2010-04,3.586,
2010-07,3.587,
2010-10,3.606,
2011-01,3.637,
2011-04,3.673,
2011-07,3.697,
2011-10,3.640,
2012-01,3.673,
2012-04,3.726,
2012-07,3.787,
2012-10,3.806,
2013-01,3.887,
2013-04,3.915,
2013-07,4.006,
2013-10,4.025,
2014-01,4.039,
2014-04,4.095,
2014-07,4.135,
