"",BBK01.OXA8Q8,BBK01.OXA8Q8_FLAGS
"","Stocks of loans to domestic self-employed persons (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:32,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,8.973,
2010-07,9.349,
2010-08,8.682,
2010-09,8.570,
2010-10,8.640,
2010-11,8.517,
2010-12,8.290,
2011-01,7.997,
2011-02,7.905,
2011-03,7.799,
2011-04,7.698,
2011-05,7.589,
2011-06,7.472,
2011-07,7.398,
2011-08,7.429,
2011-09,7.320,
2011-10,7.198,
2011-11,7.238,
2011-12,7.100,
2012-01,6.993,
2012-02,6.830,
2012-03,6.703,
2012-04,6.791,
2012-05,6.595,
2012-06,6.495,
2012-07,6.377,
2012-08,6.243,
2012-09,6.136,
2012-10,6.014,
2012-11,6.083,
2012-12,5.977,
2013-01,5.850,
2013-02,5.977,
2013-03,5.870,
2013-04,5.747,
2013-05,5.620,
2013-06,5.894,
2013-07,5.806,
2013-08,5.668,
2013-09,5.585,
2013-10,6.067,
2013-11,5.954,
2013-12,5.810,
2014-01,5.679,
2014-02,5.547,
2014-03,5.430,
2014-04,5.629,
2014-05,5.659,
2014-06,5.554,
2014-07,5.430,
2014-08,5.345,
2014-09,5.270,
2014-10,5.192,
2014-11,5.103,
2014-12,4.517,Provisional value
